,v1_HL_Bin_ARB,v2_HL_Byb_ARB,v1_HL_Bin_AVAX,v2_HL_Byb_AVAX,v1_HL_Bin_BTC,v2_HL_Byb_BTC,v1_HL_Bin_DOGE,v2_HL_Byb_DOGE,v1_HL_Bin_ETH,v2_HL_Byb_ETH,v1_HL_Bin_LINK,v2_HL_Byb_LINK,v1_HL_Bin_MATIC,v2_HL_Byb_MATIC,v1_HL_Bin_OP,v2_HL_Byb_OP,v1_HL_Bin_SOL,v2_HL_Byb_SOL,v1_port,v2_port,v3_dyn_03pct_port
2023-06-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 00:00:00+00:00,-0.0026309186,-0.0027270436,-0.0027589755999999997,-0.0028183255999999998,1.3739399999999837e-05,-2.7575600000000265e-05,-0.0031205359999999997,-0.0031205359999999997,0.00027072,0.0002969899999999999,-0.0019618772,-0.0019661872,-0.0029589098,-0.0029868448,-0.0016293492,-0.0016293492,-0.0006823444,-0.0006823444,-0.001717605711111111,-0.0017401351555555557,0.0005862968222222222
2023-06-03 00:00:00+00:00,-0.0010944862,-0.0011293712,-0.0005363423999999999,-0.0005363423999999999,-0.0002922436,-0.0003223336,0.0001644712,0.0001644712,0.00108539,0.00106391,-0.0006138388,-0.0006138388,-0.0017212536,-0.0017410536,-0.0013289104,-0.0013289104,-0.0005596676,-0.0005596676,-0.0005440979333333333,-0.0005559040444444444,0.0005645976444444444
2023-06-04 00:00:00+00:00,-0.0006199479999999999,-0.0006199479999999999,0.00105,0.00105,-0.000662782,-0.000697852,0.0007037983999999999,0.0007037983999999999,0.001105965,0.001066535,-0.0011218616,-0.0011218616,-0.0020374812000000003,-0.0020374812000000003,-0.0004358404,-0.0004358404,0.0006601943999999999,0.0006601943999999999,-0.0001508839333333334,-0.0001591617111111112,0.0007592156666666667
2023-06-05 00:00:00+00:00,0.0008670044000000001,0.0008670044000000001,0.00105,0.00105,-0.0005289088000000001,-0.0005546588,0.0009767072,0.0009767072,0.001121475,0.001090265,-0.0016684943999999999,-0.0016684943999999999,-0.0011204208,-0.0011204208,0.00105,0.00098537,0.0005483756,0.0005483756,0.0002550820222222222,0.00024157202222222223,0.0009063484666666666
2023-06-06 00:00:00+00:00,-0.0009921816000000002,-0.0010224716000000003,0.00105,0.00105,-0.0002505196,-0.0002635496,-0.0006846751999999999,-0.0006846751999999999,0.0011494650000000001,0.00105,-0.0019427795999999997,-0.0019427795999999997,-0.0025701966000000005,-0.0025890516000000004,0.00105,0.0010225,-0.00029076439999999997,-0.00026632439999999994,-0.00038685022222222223,-0.0004051502222222223,0.0009380841111111109
2023-06-07 00:00:00+00:00,-0.0010943244000000002,-0.0012199144000000002,-0.0007189473999999999,-0.0007063174,0.00016053240000000001,6.617400000000009e-06,-0.007074596999999999,-0.007219426999999999,0.004180120799999999,0.0040990107999999996,-0.0035708564,-0.0035985614,-0.006005636799999999,-0.0060488467999999995,-0.000723468,-0.0007426780000000001,-0.006882569999999999,-0.007045029999999999,-0.002414416311111111,-0.002497238533333333,0.00317045091111111
2023-06-08 00:00:00+00:00,0.00109924,0.0010908900000000002,0.0009594308,0.0009594308,0.001079975,0.00105237,-0.0021976576,-0.0022759326000000002,0.0049351080000000005,0.0049054630000000005,-0.0012064396000000001,-0.0012064396000000001,-0.008693321999999998,-0.008693321999999998,-0.0005555888000000001,-0.0005731188000000001,-0.0058837018,-0.0058928968,-0.0011625506666666664,-0.0011815062222222219,0.0027906070666666666
2023-06-09 00:00:00+00:00,0.00015079,6.563999999999999e-05,2.121355000000002e-05,1.0513550000000004e-05,0.000130725,0.00012168999999999998,-0.0006805380500000001,-0.00058577805,0.0008940013000000001,0.0008550612999999999,-0.0006344949,-0.0006908649,-0.0014508602499999999,-0.0014508602499999999,-7.918890000000001e-05,-8.67089e-05,-0.001501932,-0.001631407,-0.0003500315833333334,-0.00037696825,0.0004573217111111111
2023-06-10 00:00:00+00:00,9.416500000000002e-05,0.0,7.422900000000005e-06,1.1829000000000112e-06,5.546e-05,9.572e-05,-0.0003381904,-0.0003229454,0.0006495140999999999,0.0006349290999999999,-0.0004653657,-0.0004653657,-0.00057407435,-0.00057407435,-0.00011673590000000001,-0.00011673590000000001,-0.0010661269,-0.0010917969,-0.00019488125,-0.00020434291666666666,0.00024728470555555556
2023-06-11 00:00:00+00:00,-0.00020314600000000002,-0.000431481,-0.0007745646000000001,-0.0005802696000000002,0.0003430816,0.0002770466,-0.00090276075,-0.0007262157499999999,0.00050647325,0.00044221325,-0.0009000323000000001,-0.0005286273000000001,-0.0019957861,-0.0021384861,-0.00054547245,-0.00066763745,-0.0005744594000000001,-0.0005475444000000001,-0.00056074075,-0.00054455575,0.0004932196055555555
2023-06-12 00:00:00+00:00,8.921280000000003e-05,-0.0001728022,0.00030508875,0.00018135875000000005,0.00021624940000000004,0.00013888940000000003,-0.0004380037999999999,-0.0005306738,0.00033199115,0.0002485661499999999,-0.00036832785,-0.0003315478500000001,-0.0008600334999999998,-0.0009317835,-0.0005586082,-0.0007232982,-0.0007879578999999999,-0.0008870279,-0.00023004323888888885,-0.00033425768333333335,0.00032849506111111106
