ts_ms,coin,funding_rate_raw,funding_rate_normalized,annualized_pct
1740978001136,HYPE,1.25e-05,1.25e-05,10.95
1740981600794,HYPE,1.25e-05,1.25e-05,10.95
1740985200640,HYPE,1.25e-05,1.25e-05,10.95
1740988801342,HYPE,1.25e-05,1.25e-05,10.95
1740992403346,HYPE,1.25e-05,1.25e-05,10.95
1740996000073,HYPE,1.25e-05,1.25e-05,10.95
1740999600603,HYPE,1.25e-05,1.25e-05,10.95
1741003200901,HYPE,1.25e-05,1.25e-05,10.95
1741006800335,HYPE,1.25e-05,1.25e-05,10.95
1741010401010,HYPE,1.25e-05,1.25e-05,10.95
1741014000285,HYPE,1.25e-05,1.25e-05,10.95
1741017600282,HYPE,1.25e-05,1.25e-05,10.95
1741021200894,HYPE,1.25e-05,1.25e-05,10.95
1741024800579,HYPE,1.25e-05,1.25e-05,10.95
1741028400410,HYPE,1.25e-05,1.25e-05,10.95
1741032000906,HYPE,1.25e-05,1.25e-05,10.95
1741035601008,HYPE,1.25e-05,1.25e-05,10.95
1741039200383,HYPE,1.25e-05,1.25e-05,10.95
1741042800898,HYPE,1.25e-05,1.25e-05,10.95
1741046400504,HYPE,1.25e-05,1.25e-05,10.95
1741050000913,HYPE,1.25e-05,1.25e-05,10.95
1741053600131,HYPE,1.25e-05,1.25e-05,10.95
1741057200234,HYPE,1.25e-05,1.25e-05,10.95
1741060800819,HYPE,1.25e-05,1.25e-05,10.95
1741064400281,HYPE,1.25e-05,1.25e-05,10.95
1741068000277,HYPE,1.25e-05,1.25e-05,10.95
1741071600325,HYPE,1.25e-05,1.25e-05,10.95
1741075200859,HYPE,1.25e-05,1.25e-05,10.95
1741078801007,HYPE,1.25e-05,1.25e-05,10.95
1741082400679,HYPE,1.25e-05,1.25e-05,10.95
1741086000905,HYPE,1.25e-05,1.25e-05,10.95
1741089600270,HYPE,1.25e-05,1.25e-05,10.95
1741093200455,HYPE,1.25e-05,1.25e-05,10.95
1741096801071,HYPE,1.25e-05,1.25e-05,10.95
1741100400479,HYPE,1.25e-05,1.25e-05,10.95
1741104000387,HYPE,1.25e-05,1.25e-05,10.95
1741107600596,HYPE,1.25e-05,1.25e-05,10.95
1741111200034,HYPE,1.25e-05,1.25e-05,10.95
1741114801454,HYPE,1.25e-05,1.25e-05,10.95
1741118401063,HYPE,1.25e-05,1.25e-05,10.95
1741122000261,HYPE,1.25e-05,1.25e-05,10.95
1741125600159,HYPE,1.25e-05,1.25e-05,10.95
1741129200253,HYPE,1.25e-05,1.25e-05,10.95
1741132800558,HYPE,1.25e-05,1.25e-05,10.95
1741136400606,HYPE,1.25e-05,1.25e-05,10.95
1741140001062,HYPE,1.25e-05,1.25e-05,10.95
1741143600803,HYPE,1.25e-05,1.25e-05,10.95
1741147200201,HYPE,1.25e-05,1.25e-05,10.95
1741150800812,HYPE,1.25e-05,1.25e-05,10.95
1741154400764,HYPE,1.25e-05,1.25e-05,10.95
1741158001214,HYPE,1.25e-05,1.25e-05,10.95
1741161601270,HYPE,1.25e-05,1.25e-05,10.95
1741165200841,HYPE,1.25e-05,1.25e-05,10.95
1741168800514,HYPE,1.25e-05,1.25e-05,10.95
1741172400262,HYPE,1.25e-05,1.25e-05,10.95
1741176000623,HYPE,1.25e-05,1.25e-05,10.95
1741179604173,HYPE,1.25e-05,1.25e-05,10.95
1741183200881,HYPE,1.25e-05,1.25e-05,10.95
1741186800156,HYPE,1.25e-05,1.25e-05,10.95
1741190400232,HYPE,1.25e-05,1.25e-05,10.95
1741194000333,HYPE,1.25e-05,1.25e-05,10.95
1741197600305,HYPE,1.25e-05,1.25e-05,10.95
