config,universe,margin_buffer_x,position_size,concurrency_cap,entry_threshold,exit_threshold,min_hold_hours,annual_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,n_liquidations,n_top_ups,n_forced_closes,n_skipped_opens_capital,total_funding,total_fees,final_equity
A_research,U3-new,3.0,100.0,3,0.3,-0.15,120,-91.48183298945177,56.622642788508294,-0.9420947067436736,-0.06904241678190316,91.55205260820117,-0.9992330087993778,3,11,0,8884,0.0,914.8362180452395,85.16378195476014
A_research,U3-new,3.0,100.0,4,0.3,-0.15,120,-91.48183298945177,56.622642788508294,-0.9420947067436736,-0.06904241678190316,91.55205260820117,-0.9992330087993778,3,11,0,8884,0.0,914.8362180452395,85.16378195476014
A_research,U3-new,3.0,100.0,5,0.3,-0.15,120,-91.48183298945177,56.622642788508294,-0.9420947067436736,-0.06904241678190316,91.55205260820117,-0.9992330087993778,3,11,0,8884,0.0,914.8362180452395,85.16378195476014
A_research,U3-new,3.0,150.0,3,0.3,-0.15,120,-40.64572342218078,31.53544103583446,-0.30907156180289047,-0.05805002257292078,53.999339503733836,-0.7527077885715675,1,17,2,4751,358.9353489089311,765.5795491019593,593.3557998069721
A_research,U3-new,3.0,150.0,4,0.3,-0.15,120,-40.64572342218078,31.53544103583446,-0.30907156180289047,-0.05805002257292078,53.999339503733836,-0.7527077885715675,1,17,2,4751,358.9353489089311,765.5795491019593,593.3557998069721
A_research,U3-new,3.0,150.0,5,0.3,-0.15,120,-40.64572342218078,31.53544103583446,-0.30907156180289047,-0.05805002257292078,53.999339503733836,-0.7527077885715675,1,17,2,4751,358.9353489089311,765.5795491019593,593.3557998069721
A_research,U3-new,5.0,100.0,3,0.3,-0.15,120,-84.48629143307747,50.08665795845959,-0.719218383135896,-0.059361978671871006,85.16493102807158,-0.9920314666283189,2,4,0,8237,50.14852318268425,895.0440163014491,155.1045068812348
A_research,U3-new,5.0,100.0,4,0.3,-0.15,120,-84.48629143307747,50.08665795845959,-0.719218383135896,-0.059361978671871006,85.16493102807158,-0.9920314666283189,2,4,0,8237,50.14852318268425,895.0440163014491,155.1045068812348
A_research,U3-new,5.0,100.0,5,0.3,-0.15,120,-84.48629143307747,50.08665795845959,-0.719218383135896,-0.059361978671871006,85.16493102807158,-0.9920314666283189,2,4,0,8237,50.14852318268425,895.0440163014491,155.1045068812348
A_research,U3-new,5.0,150.0,3,0.3,-0.15,120,-42.06757369830394,31.828413653547905,-0.32586500478202124,-0.06100064940939941,54.50081750488367,-0.7718705080806243,1,2,1,5402,341.12276311019053,761.9809872360808,579.1417758741102
