mode,z_threshold,lookback_days,safety_mult,cap_min_hold,period,annual,max_dd,calmar,sharpe,trades,time_in_market_pct,median_wait_hours
zscore,2.0,14.0,3.0,480.0,full,8.57,0.15,57.6,33.71,79,77.7,335
zscore,2.0,14.0,3.0,480.0,last_90d,-0.01,0.05,-0.3,-0.12,3,14.2,1854
zscore,2.0,14.0,3.0,720.0,full,8.27,1.01,8.2,32.11,83,87.0,232
zscore,2.0,14.0,3.0,720.0,last_90d,0.29,0.05,5.6,2.14,4,75.2,268
zscore,2.0,14.0,5.0,480.0,full,10.0,0.13,75.1,37.22,65,81.8,294
zscore,2.0,14.0,5.0,480.0,last_90d,-0.12,0.07,-1.9,-0.93,3,13.2,1875
zscore,2.0,14.0,5.0,720.0,full,9.44,0.1,91.0,37.17,65,83.7,335
zscore,2.0,14.0,5.0,720.0,last_90d,-0.01,0.05,-0.3,-0.12,3,14.2,1854
zscore,2.0,30.0,3.0,480.0,full,9.0,0.18,51.3,33.21,70,72.0,391
zscore,2.0,30.0,3.0,480.0,last_90d,-0.06,0.05,-1.2,-0.51,3,13.2,1875
zscore,2.0,30.0,3.0,720.0,full,8.8,0.62,14.2,32.25,73,78.5,314
zscore,2.0,30.0,3.0,720.0,last_90d,-0.43,0.11,-4.0,-3.23,4,41.5,631
zscore,2.0,30.0,5.0,480.0,full,9.41,0.16,60.0,35.67,58,76.4,254
zscore,2.0,30.0,5.0,480.0,last_90d,-0.12,0.07,-1.9,-0.93,3,13.2,1875
zscore,2.0,30.0,5.0,720.0,full,9.49,0.15,61.9,35.99,58,78.4,302
zscore,2.0,30.0,5.0,720.0,last_90d,-0.06,0.05,-1.2,-0.51,3,13.2,1875
zscore,2.0,60.0,3.0,480.0,full,8.19,0.13,63.5,36.3,55,64.8,404
zscore,2.0,60.0,3.0,480.0,last_90d,-0.09,0.05,-1.7,-0.73,3,13.1,1876
zscore,2.0,60.0,3.0,720.0,full,8.19,0.13,63.5,36.3,55,64.8,404
zscore,2.0,60.0,3.0,720.0,last_90d,-0.09,0.05,-1.7,-0.73,3,13.1,1876
zscore,2.0,60.0,5.0,480.0,full,8.62,0.13,64.3,38.05,48,67.5,373
zscore,2.0,60.0,5.0,480.0,last_90d,-0.12,0.07,-1.9,-0.94,3,13.1,1876
zscore,2.0,60.0,5.0,720.0,full,8.71,0.13,66.0,38.3,48,68.8,414
zscore,2.0,60.0,5.0,720.0,last_90d,-0.09,0.05,-1.7,-0.73,3,13.1,1876
