config,universe,margin_buffer_x,position_size,concurrency_cap,entry_threshold,exit_threshold,min_hold_hours,annual_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,n_liquidations,n_top_ups,n_forced_closes,n_skipped_opens_capital,total_funding,total_fees,final_equity
A_research,U3-new,3.0,100.0,3,0.3,-0.15,120,-63.684095463607385,45.71507548572814,-0.3344349744475713,-0.0634448296368431,76.94528722759601,-0.8276542691332942,2,10,0,5254,207.1583980680552,844.0756161036549,363.0827819643997
A_research,U3-new,3.0,100.0,5,0.3,-0.15,120,-63.684095463607385,45.71507548572814,-0.3344349744475713,-0.0634448296368431,76.94528722759601,-0.8276542691332942,2,10,0,5254,207.1583980680552,844.0756161036549,363.0827819643997
A_research,U3-new,3.0,150.0,3,0.3,-0.15,120,-2.6413986953373936,31.705566255820173,0.2201863900873604,0.0417061950906362,52.9639821622093,-0.0498716030688129,1,6,0,4160,687.6013026538211,714.3219692013054,973.2793334525164
A_research,U3-new,3.0,150.0,5,0.3,-0.15,120,-2.6413986953373936,31.705566255820173,0.2201863900873604,0.0417061950906362,52.9639821622093,-0.0498716030688129,1,6,0,4160,687.6013026538211,714.3219692013054,973.2793334525164
A_research,U3-new,5.0,100.0,3,0.3,-0.15,120,72.66979267167765,4.864608162312279,3.8575642036242312,163.66884937921094,0.0166585584660104,4362.30978928643,0,1,0,0,905.5108568832352,179.17553673106886,1726.3353201521663
A_research,U3-new,5.0,100.0,5,0.3,-0.15,120,72.66979267167765,4.864608162312279,3.8575642036242312,163.66884937921094,0.0166585584660104,4362.30978928643,0,1,0,0,905.5108568832352,179.17553673106886,1726.3353201521663
A_research,U3-new,5.0,150.0,3,0.3,-0.15,120,109.0161381063282,6.662194814672173,3.81091668335879,162.17181619743602,0.0210838689920165,5170.594550156217,0,1,0,0,1358.266285324852,268.76330509660494,2089.502980228247
A_research,U3-new,5.0,150.0,5,0.3,-0.15,120,109.0161381063282,6.662194814672173,3.81091668335879,162.17181619743602,0.0210838689920165,5170.594550156217,0,1,0,0,1358.266285324852,268.76330509660494,2089.502980228247
A_research,U4,3.0,100.0,3,0.3,-0.15,120,3.0268092448600292,4.174188433988289,1.4135766251964308,29.921123411714635,0.0104999999999904,288.2675471297888,0,0,0,0,68.39560894085095,38.12751649225061,1030.2680924486003
A_research,U4,3.0,100.0,5,0.3,-0.15,120,3.0268092448600292,4.174188433988289,1.4135766251964308,29.921123411714635,0.0104999999999904,288.2675471297888,0,0,0,0,68.39560894085095,38.12751649225061,1030.2680924486003
