mode,entry,safety_mult,rotation_factor,rotation_margin_pp,period,annual,max_dd,calmar,sharpe,trades,rotation_trades,tim_pct,median_wait_h
no_rotation,0.15,5.0,1.0,0.1,full,10.52,0.16,65.2,36.38,73,0,86.1,270
no_rotation,0.15,5.0,1.0,0.1,last_90d,-0.07,0.05,-1.3,-0.56,3,0,13.4,1870
rot_f1.5_m0.10,0.15,5.0,1.5,0.1,full,8.34,0.17,49.1,26.22,178,141,99.2,101
rot_f1.5_m0.10,0.15,5.0,1.5,0.1,last_90d,0.99,0.08,12.1,5.95,5,141,100.0,0
rot_f1.5_m0.15,0.15,5.0,1.5,0.15,full,8.64,0.16,53.5,26.86,177,129,91.3,441
rot_f1.5_m0.15,0.15,5.0,1.5,0.15,last_90d,0.05,0.05,1.0,0.42,3,129,39.4,1309
rot_f1.5_m0.20,0.15,5.0,1.5,0.2,full,8.48,0.16,52.6,26.69,174,126,87.9,441
rot_f1.5_m0.20,0.15,5.0,1.5,0.2,last_90d,-0.07,0.05,-1.3,-0.56,3,126,13.4,1870
rot_f2.0_m0.10,0.15,5.0,2.0,0.1,full,9.27,0.19,48.6,28.34,166,131,99.9,26
rot_f2.0_m0.10,0.15,5.0,2.0,0.1,last_90d,0.99,0.08,12.1,5.95,5,131,100.0,0
rot_f2.0_m0.15,0.15,5.0,2.0,0.15,full,8.95,0.16,55.5,28.02,163,118,91.3,441
rot_f2.0_m0.15,0.15,5.0,2.0,0.15,last_90d,0.05,0.05,1.0,0.42,3,118,39.4,1309
rot_f2.0_m0.20,0.15,5.0,2.0,0.2,full,8.91,0.16,55.2,27.94,160,112,88.1,849
rot_f2.0_m0.20,0.15,5.0,2.0,0.2,last_90d,-0.07,0.05,-1.3,-0.56,3,112,13.4,1870
rot_f3.0_m0.10,0.15,5.0,3.0,0.1,full,9.62,0.17,56.7,31.44,136,92,93.5,177
rot_f3.0_m0.10,0.15,5.0,3.0,0.1,last_90d,0.02,0.05,0.4,0.17,3,92,32.6,1456
rot_f3.0_m0.15,0.15,5.0,3.0,0.15,full,9.63,0.16,59.7,31.88,131,81,88.9,270
rot_f3.0_m0.15,0.15,5.0,3.0,0.15,last_90d,0.05,0.05,1.0,0.42,3,81,39.4,1309
rot_f3.0_m0.20,0.15,5.0,3.0,0.2,full,9.46,0.16,58.7,31.6,131,75,86.1,270
rot_f3.0_m0.20,0.15,5.0,3.0,0.2,last_90d,-0.07,0.05,-1.3,-0.56,3,75,13.4,1870
