margin_buffer_x,position_size,concurrency_cap,annual_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,n_liquidations,n_top_ups,n_forced_closes,n_skipped_opens_capital,min_margin_ratio,peak_committed_capital,final_equity,total_funding,total_fees
2.0,50.0,3,13.305504239860813,3.305374076090421,4.025415560709695,197.01913439225046,0.015251309795957579,872.417150911687,0,0,0,0,3.4220191225714323,268.0741786164754,1462.9607588046288,117.6136704010978,0.026375718390804596
2.0,50.0,5,18.866334131518453,3.892298469811556,4.847093376277453,247.41926771808937,0.015251309795957579,1237.0304179723012,0,7,0,0,1.5029472898652991,496.99297271400167,1708.5862789057637,170.00418320223622,0.03427037958929683
2.0,100.0,3,23.040272495142947,5.770154451518286,3.993007932236619,193.5364981192697,0.030500848394053277,755.3977580385957,0,0,0,0,3.4220191225714323,536.1483572329508,1925.9215176092564,235.2273408021956,0.05275143678160919
2.0,100.0,5,30.210040819745785,6.43619610662797,4.6937725823232155,232.51613700207994,0.030500848394053277,990.4655906435642,0,7,0,852,1.5029472898652991,993.9859454280033,2350.2754842010163,332.5818126695682,0.05275143678160919
2.0,150.0,3,30.735837752841423,7.783787863473354,3.948699308350137,188.61554657814622,0.04574861610280265,671.8419128520586,0,0,0,0,3.422019122571435,804.2225358494263,2388.8822764138895,352.84101120330564,0.07912715517241381
2.0,150.0,5,-11.95291671148651,51.82970653270789,-0.2306190312681676,-0.016989625601673653,82.348238413038,-0.14515084890503296,1,6,2,23126,0.9784568711032905,965.855291763609,277.55745545018493,64.3577902593241,0.0
3.0,50.0,3,17.28489966788406,4.701386085810538,3.6765539677867314,269.96160821733116,0.015251309795957579,1133.3387033070098,0,0,0,0,12.284267507527561,285.5741786164754,1637.9607588046267,117.61367040109637,0.026375718390804596
3.0,50.0,5,24.12480013696371,5.446112348688187,4.429728693124498,337.13744799698884,0.015251309795957579,1581.818247725719,0,1,0,0,1.8591955048379751,524.4929727140017,1981.0862789057692,170.00418320224207,0.03427037958929683
3.0,100.0,3,29.01093821784457,7.991996633107372,3.6299988037613593,262.08843374439226,0.030500848394053277,951.1518447959239,0,0,0,0,12.284267507527561,571.1483572329508,2275.9215176092516,235.22734080219274,0.05275143678160919
3.0,100.0,5,34.108042871888465,8.596485464870145,3.967672953240279,271.120098143378,0.030500848394053277,1118.265381711103,0,1,0,4865,1.8591955048379751,1048.9859454280033,2589.4990834362998,295.1178898895557,0.0
3.0,150.0,3,34.33453168282986,10.35722084090569,3.315033271012832,224.98061139351086,0.04574861610281401,750.5042689306165,0,0,0,6468,12.284267507527561,856.7225358494263,2594.4180102735713,278.51410302805357,0.0
3.0,150.0,5,35.777895674258424,10.276933469404941,3.481378543587094,213.29159748173464,0.04574861610281401,782.0541629904673,0,0,0,13714,11.2589975549196,1005.7600559874676,2702.761196178377,320.0270815386149,0.0
5.0,50.0,3,24.17166676794808,7.137113754376285,3.386756551712051,412.3606580578485,0.015251309795957579,1584.8912054986174,0,0,0,0,20.32962183823623,320.5741786164754,1987.96075880463,117.61367040110225,0.026375718390804596
5.0,50.0,5,29.760507213628074,7.787164204241899,3.8217387527820006,470.7457488134028,0.015251309795957579,1951.341072457673,0,0,0,1405,13.555555810983037,579.4929727140017,2319.8944791625827,163.13122942703183,0.026375718390804596
5.0,100.0,3,30.5968159979896,10.558172550794275,2.897927255004736,357.1900869009869,0.030500848394053277,1003.1463912969397,0,0,0,7783,20.32962183823623,641.1483572329508,2333.7086769716475,165.90390179964223,0.0
5.0,100.0,5,34.8884948522751,11.221189316154538,3.1091619497095575,361.8849283064378,0.030500848394053277,1143.85325947449,0,0,0,11916,14.177254672953659,1017.801986737293,2628.7055839302857,211.98407348729015,0.0
5.0,150.0,3,32.43638173427552,12.753363884869326,2.5433589151140166,265.30593854722736,0.04574861610281401,709.0133975064734,0,0,0,14527,20.329621838236225,846.166001032331,2441.487655782702,212.68106987987045,0.0
5.0,150.0,5,32.43638173427552,12.753363884869326,2.5433589151140166,265.30593854722736,0.04574861610281401,709.0133975064734,0,0,0,19366,20.329621838236225,846.166001032331,2441.487655782702,212.68106987987045,0.0
