config,universe,margin_buffer_x,position_size,concurrency_cap,entry_threshold,exit_threshold,min_hold_hours,coin,n_opens,n_closes,funding_gross,fees_paid,realized_pnl,hours_in_position,net_pnl_per_hour
A_research,U4,3.0,150.0,5,0.3,-0.15,120,HYPE,1,1,0.7045495220196061,0.3024108491190886,11.98966750562987,319,0.0388457873935121
A_research,U4,5.0,100.0,3,0.3,-0.15,120,BTC,0,0,0.0,0.0,0.0,0,0.0
A_research,U4,5.0,100.0,3,0.3,-0.15,120,ETH,0,0,0.0,0.0,0.0,0,0.0
A_research,U4,5.0,100.0,3,0.3,-0.15,120,SOL,0,0,0.0,0.0,0.0,0,0.0
A_research,U4,5.0,100.0,3,0.3,-0.15,120,HYPE,1,1,0.4696996813464031,0.201607232746059,7.993111670419913,319,0.0258971915956747
A_research,U4,5.0,100.0,5,0.3,-0.15,120,BTC,0,0,0.0,0.0,0.0,0,0.0
A_research,U4,5.0,100.0,5,0.3,-0.15,120,ETH,0,0,0.0,0.0,0.0,0,0.0
A_research,U4,5.0,100.0,5,0.3,-0.15,120,SOL,0,0,0.0,0.0,0.0,0,0.0
A_research,U4,5.0,100.0,5,0.3,-0.15,120,HYPE,1,1,0.4696996813464031,0.201607232746059,7.993111670419913,319,0.0258971915956747
A_research,U4,5.0,150.0,3,0.3,-0.15,120,BTC,0,0,0.0,0.0,0.0,0,0.0
A_research,U4,5.0,150.0,3,0.3,-0.15,120,ETH,0,0,0.0,0.0,0.0,0,0.0
A_research,U4,5.0,150.0,3,0.3,-0.15,120,SOL,0,0,0.0,0.0,0.0,0,0.0
A_research,U4,5.0,150.0,3,0.3,-0.15,120,HYPE,1,1,0.7045495220196061,0.3024108491190886,11.98966750562987,319,0.0388457873935121
A_research,U4,5.0,150.0,5,0.3,-0.15,120,BTC,0,0,0.0,0.0,0.0,0,0.0
A_research,U4,5.0,150.0,5,0.3,-0.15,120,ETH,0,0,0.0,0.0,0.0,0,0.0
A_research,U4,5.0,150.0,5,0.3,-0.15,120,SOL,0,0,0.0,0.0,0.0,0,0.0
A_research,U4,5.0,150.0,5,0.3,-0.15,120,HYPE,1,1,0.7045495220196061,0.3024108491190886,11.98966750562987,319,0.0388457873935121
A_research,U5,3.0,100.0,3,0.3,-0.15,120,BTC,0,0,0.0,0.0,0.0,0,0.0
A_research,U5,3.0,100.0,3,0.3,-0.15,120,ETH,0,0,0.0,0.0,0.0,0,0.0
A_research,U5,3.0,100.0,3,0.3,-0.15,120,SOL,0,0,0.0,0.0,0.0,0,0.0
A_research,U5,3.0,100.0,3,0.3,-0.15,120,HYPE,1,1,0.4696996813464031,0.201607232746059,7.993111670419913,319,0.0258971915956747
A_research,U5,3.0,100.0,3,0.3,-0.15,120,ZEC,5,4,1.28923091917436,0.9922438915529772,-44.99418243140687,828,-0.053982120052881
A_research,U5,3.0,100.0,5,0.3,-0.15,120,BTC,0,0,0.0,0.0,0.0,0,0.0
A_research,U5,3.0,100.0,5,0.3,-0.15,120,ETH,0,0,0.0,0.0,0.0,0,0.0
A_research,U5,3.0,100.0,5,0.3,-0.15,120,SOL,0,0,0.0,0.0,0.0,0,0.0
A_research,U5,3.0,100.0,5,0.3,-0.15,120,HYPE,1,1,0.4696996813464031,0.201607232746059,7.993111670419913,319,0.0258971915956747
A_research,U5,3.0,100.0,5,0.3,-0.15,120,ZEC,5,4,1.28923091917436,0.9922438915529772,-44.99418243140687,828,-0.053982120052881
A_research,U5,3.0,150.0,3,0.3,-0.15,120,BTC,0,0,0.0,0.0,0.0,0,0.0
A_research,U5,3.0,150.0,3,0.3,-0.15,120,ETH,0,0,0.0,0.0,0.0,0,0.0
A_research,U5,3.0,150.0,3,0.3,-0.15,120,SOL,0,0,0.0,0.0,0.0,0,0.0
A_research,U5,3.0,150.0,3,0.3,-0.15,120,HYPE,1,1,0.7045495220196061,0.3024108491190886,11.98966750562987,319,0.0388457873935121
A_research,U5,3.0,150.0,3,0.3,-0.15,120,ZEC,5,4,1.9338463787615372,1.4883658373294657,-67.49127364711029,828,-0.0809731800793215
