signal,CAGR,avgDD,Calmar,hedge_pnl,trades_yr,pct_hedged
mom14|mom30,23.57,17.01,1.39,9.98,77,63.5
mom30d,25.03,18.36,1.36,10.97,66,51.0
"2of3{7,14,30}",23.59,18.06,1.31,11.38,108,51.0
mom14d,23.32,19.03,1.23,10.44,98,51.0
mom14&mom30,24.79,20.48,1.21,11.78,86,38.5
mom30&vol_high,25.83,21.84,1.18,7.68,25,24.2
mom14&vol_high,23.64,24.9,0.95,7.89,46,23.6
mom21d,16.96,25.97,0.65,2.23,88,51.7
