coin,signal,annual,max_dd,calmar,sharpe,pct_hedged,trades,funding,hedge_pnl,fees,bh_annual,bh_dd
TIA,mom7d_lt180d,39.71,33.23,1.19,0.59,45.1,289,-0.31,22.78,-3.78,-28.06,98.18
TIA,mom14d_lt90d,42.83,34.95,1.23,0.65,51.6,233,-0.38,25.28,-3.09,-28.06,98.18
TIA,mom14d_lt180d,48.86,30.01,1.63,0.73,47.8,182,-0.46,30.78,-2.48,-28.06,98.18
TIA,dd5,-39.45,117.05,-0.34,-0.78,97.6,85,6.57,-64.72,-2.32,-28.06,98.18
TIA,dd8,-18.03,81.33,-0.22,-0.33,96.1,71,5.6,-42.83,-1.82,-28.06,98.18
TIA,dd10,-11.11,74.88,-0.15,-0.2,94.8,71,5.19,-35.63,-1.69,-28.06,98.18
TIA,mom7d_lt90d|dd5,-39.45,117.05,-0.34,-0.78,97.6,85,6.57,-64.72,-2.32,-28.06,98.18
TIA,mom7d_lt90d|dd8,-18.03,81.33,-0.22,-0.33,96.1,71,5.6,-42.83,-1.82,-28.06,98.18
TIA,mom14d_lt90d|dd5,-39.45,117.05,-0.34,-0.78,97.6,85,6.57,-64.72,-2.32,-28.06,98.18
TIA,mom14d_lt90d|dd8,-18.03,81.33,-0.22,-0.33,96.1,71,5.6,-42.83,-1.82,-28.06,98.18
TIA,mom14d|dd5,-39.45,117.05,-0.34,-0.78,97.6,85,6.57,-64.72,-2.32,-28.06,98.18
INJ,mom7d,16.47,44.83,0.37,0.35,51.6,478,1.38,-10.38,-5.82,5.95,92.45
INJ,mom14d,36.81,30.16,1.22,0.76,52.2,291,0.24,8.93,-3.66,5.95,92.45
INJ,mom7d_lt90d,33.16,30.49,1.09,0.63,32.6,315,0.21,5.31,-3.66,5.95,92.45
INJ,mom7d_lt180d,28.27,38.52,0.73,0.53,31.4,273,0.37,-0.21,-3.18,5.95,92.45
INJ,mom14d_lt90d,38.35,25.8,1.49,0.73,34.3,195,0.18,9.2,-2.32,5.95,92.45
INJ,mom14d_lt180d,38.02,27.34,1.39,0.71,32.7,155,0.04,8.53,-1.85,5.95,92.45
INJ,dd5,6.6,39.47,0.17,0.18,95.4,108,4.26,-26.95,-2.01,5.95,92.45
INJ,dd8,13.15,40.86,0.32,0.33,92.8,92,3.17,-19.68,-1.64,5.95,92.45
INJ,dd10,10.85,40.94,0.27,0.26,91.3,100,2.5,-21.28,-1.66,5.95,92.45
INJ,mom7d_lt90d|dd5,6.6,39.47,0.17,0.18,95.4,108,4.26,-26.95,-2.01,5.95,92.45
INJ,mom7d_lt90d|dd8,13.15,40.86,0.32,0.33,92.8,92,3.17,-19.68,-1.64,5.95,92.45
INJ,mom14d_lt90d|dd5,6.6,39.47,0.17,0.18,95.4,108,4.26,-26.95,-2.01,5.95,92.45
INJ,mom14d_lt90d|dd8,13.15,40.86,0.32,0.33,92.8,92,3.17,-19.68,-1.64,5.95,92.45
INJ,mom14d|dd5,6.61,39.26,0.17,0.18,95.5,110,4.27,-26.93,-2.03,5.95,92.45
