universe,margin_buffer_x,position_size,concurrency_cap,annual_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,n_liquidations,n_top_ups,n_forced_closes,n_skipped_opens_capital,min_margin_ratio,peak_committed_capital,final_equity,total_funding,total_fees
U3-new,2.0,50.0,3,1.2053329893214615,10.632457325161537,0.09891470851227631,0.018836897170053962,18.055083820149704,0.06675864821941699,1,23,0,0,-0.48834158520241955,231.01943240458215,1011.947064293576,216.5054284416197,204.55836414804367
U3-new,2.0,50.0,5,1.2053329893214615,10.632457325161537,0.09891470851227631,0.018836897170053962,18.055083820149704,0.06675864821941699,1,23,0,0,-0.48834158520241955,231.01943240458215,1011.947064293576,216.5054284416197,204.55836414804367
U3-new,2.0,100.0,3,2.4109191517369455,21.121683087728876,0.1780776298132466,0.033986079730930485,35.78917548055618,0.06736447876668096,1,23,0,0,-0.48834158520241955,462.0388648091643,1023.8941285871508,433.0108568832394,409.11672829608835
U3-new,2.0,100.0,5,2.4109191517369455,21.121683087728876,0.1780776298132466,0.033986079730930485,35.78917548055618,0.06736447876668096,1,23,0,0,-0.48834158520241955,462.0388648091643,1023.8941285871508,433.0108568832394,409.11672829608835
U3-new,2.0,150.0,3,-14.726453268787242,31.46310338002598,0.07733446332753949,0.014468763285542566,53.21075969325014,-0.2767570572884588,1,19,0,4160,-0.4883415852024254,535.1569749910581,852.4668556399242,559.2006531623188,706.7337975223948
U3-new,2.0,150.0,5,-14.726453268787242,31.46310338002598,0.07733446332753949,0.014468763285542566,53.21075969325014,-0.2767570572884588,1,19,0,4160,-0.4883415852024254,535.1569749910581,852.4668556399242,559.2006531623188,706.7337975223948
U3-new,3.0,50.0,3,-19.69634330382455,20.383139460646138,-0.2431576909853991,-0.04603362369307226,38.91712436371708,-0.5061099355580263,2,13,0,0,-0.3212314962028314,236.76943240458215,802.9522481222236,274.0106858304542,471.05843770823043
U3-new,3.0,50.0,5,-19.69634330382455,20.383139460646138,-0.2431576909853991,-0.04603362369307226,38.91712436371708,-0.5061099355580263,2,13,0,0,-0.3212314962028314,236.76943240458215,802.9522481222236,274.0106858304542,471.05843770823043
U3-new,3.0,100.0,3,-63.684095463607385,45.71507548572814,-0.33443497444757136,-0.06344482963684317,76.94528722759601,-0.8276542691332942,2,10,0,5254,-0.3212314962028314,473.5388648091643,363.0827819643997,207.15839806805522,844.0756161036549
U3-new,3.0,100.0,5,-63.684095463607385,45.71507548572814,-0.33443497444757136,-0.06344482963684317,76.94528722759601,-0.8276542691332942,2,10,0,5254,-0.3212314962028314,473.5388648091643,363.0827819643997,207.15839806805522,844.0756161036549
U3-new,3.0,150.0,3,-2.6413986953373936,31.705566255820173,0.22018639008736043,0.041706195090636236,52.9639821622093,-0.049871603068812984,1,6,0,4160,-0.3212314962028372,552.4069749910581,973.2793334525163,687.6013026538211,714.3219692013054
U3-new,3.0,150.0,5,-2.6413986953373936,31.705566255820173,0.22018639008736043,0.041706195090636236,52.9639821622093,-0.049871603068812984,1,6,0,4160,-0.3212314962028372,552.4069749910581,973.2793334525163,687.6013026538211,714.3219692013054
U3-new,5.0,50.0,3,36.331080771089304,2.7266590957908616,3.894131752178093,164.83788116302773,0.010222028605135408,3554.1947860366054,0,1,0,0,1.446458752968361,248.26943240458215,1363.1676600760836,452.7554284416176,89.58776836553398
