label,entry_threshold,safety_mult,cap_min_hold,phase1_negative_patience,phase1_breakeven_cap_h,phase2_exit_threshold,period,annual,max_dd,calmar,sharpe,trades,avg_hold_h,avg_min_hold_assigned,tim_pct,phase1_exits,phase2_exits
two_phase_dynamic,0.15,3.0,720,72,720,-0.1,full,13.38,0.13,105.4,43.59,48,1288.6,272.5,85.9,4,41
two_phase_dynamic,0.15,3.0,720,72,720,-0.1,last_90d,-0.07,0.05,-1.3,-0.56,3,1288.6,272.5,13.4,4,41
two_phase_dynamic,0.15,5.0,720,24,480,-0.1,full,13.79,0.16,86.8,42.9,46,1384.4,442.0,87.4,4,39
two_phase_dynamic,0.15,5.0,720,24,480,-0.1,last_90d,-0.07,0.05,-1.3,-0.56,3,1384.4,442.0,13.4,4,39
two_phase_dynamic,0.15,5.0,720,24,720,-0.1,full,13.96,0.16,87.3,43.86,43,1506.3,441.1,88.4,3,37
two_phase_dynamic,0.15,5.0,720,24,720,-0.1,last_90d,-0.07,0.05,-1.3,-0.56,3,1506.3,441.1,13.4,3,37
two_phase_dynamic,0.15,5.0,720,72,480,-0.1,full,13.79,0.16,86.8,42.9,46,1384.4,442.0,87.4,4,39
two_phase_dynamic,0.15,5.0,720,72,480,-0.1,last_90d,-0.07,0.05,-1.3,-0.56,3,1384.4,442.0,13.4,4,39
two_phase_dynamic,0.15,5.0,720,72,720,-0.1,full,13.96,0.16,87.3,43.86,43,1506.3,441.1,88.4,3,37
two_phase_dynamic,0.15,5.0,720,72,720,-0.1,last_90d,-0.07,0.05,-1.3,-0.56,3,1506.3,441.1,13.4,3,37
