fundingTime,fundingRate
1717200000000,0.00028113
1717228800008,0.00021621
1717257600000,0.00019464
1717286400000,0.00025433
1717315200013,0.00028407
1717344000000,0.0002436
1717372800004,0.00021884
1717401600000,0.00024506
1717430400002,0.0001
1717459200010,0.0001
1717488000001,0.0001
1717516800001,0.0001
1717545600000,0.00014203
1717574400002,0.0001601
1717603200000,0.0001
1717632000000,0.00023013
1717660800010,0.00016089
1717689600000,0.00021916
1717718400009,0.00022789
1717747200009,0.00025933
1717776000000,0.00031086
1717804800005,0.0001
1717833600006,0.0001
1717862400013,0.0001
1717891200007,0.0001
1717920000000,0.0001
1717948800005,0.0001
1717977600001,0.0001
1718006400000,0.0001
1718035200001,0.0001
1718064000000,0.0001
1718092800009,0.0001
1718121600001,0.0001
1718150400003,0.0001
1718179200009,0.0001
1718208000000,0.0001
1718236800000,0.0001
1718265600006,0.0001
1718294400000,0.0001
1718323200000,0.0001
1718352000003,0.0001
1718380800000,0.0001
1718409600000,0.0001
1718438400010,0.0001
1718467200003,0.0001
1718496000010,0.0001
1718524800004,0.0001
1718553600000,0.0001
1718582400003,0.0001
1718611200000,0.0001
1718640000002,0.0001
1718668800010,0.0001
1718697600000,0.0001
1718726400000,0.0001
1718755200001,0.0001
1718784000009,0.0001
1718812800001,0.0001
1718841600001,0.0001
1718870400006,0.0001
1718899200000,0.0001
1718928000011,0.0001
1718956800003,0.0001
1718985600000,0.0001
1719014400000,0.0001
1719043200000,0.0001
1719072000002,0.0001
1719100800002,0.0001
1719129600000,0.0001
1719158400000,0.0001
1719187200000,0.0001
1719216000009,0.0001
1719244800001,0.0001
1719273600006,0.0001
1719302400005,0.0001
1719331200001,0.0001
1719360000008,0.0001
1719388800000,0.0001
1719417600000,0.0001
1719446400002,0.0001
1719475200002,0.0001
1719504000000,0.0001
1719532800016,0.0001
1719561600021,0.0001
1719590400000,0.0001
1719619200000,0.0001
1719648000000,0.0001
1719676800020,0.0001
1719705600031,0.0001
1719734400016,0.0001
1719763200004,0.0001
1719792000000,0.0001
1719820800000,0.0001
1719849600010,0.0001
1719878400004,0.0001
1719907200008,0.0001
1719936000010,0.0001
1719964800005,0.0001
1719993600005,0.0001
1720022400000,0.0001
1720051200011,0.0001
1720080000000,0.0001
1720108800017,0.0001
1720137600006,0.0001
1720166400006,0.0001
1720195200000,0.0001
1720224000000,0.0001
1720252800001,0.0001
1720281600000,0.0001
1720310400000,0.0001
1720339200006,0.0001
1720368000005,0.0001
1720396800011,0.0001
1720425600011,0.0001
1720454400014,0.0001
1720483200010,0.0001
1720512000002,0.0001
1720540800000,0.0001
1720569600001,0.0001
1720598400000,0.0001
1720627200001,0.0001
1720656000007,0.0001
1720684800000,0.0001
1720713600001,0.0001
1720742400000,0.0001
1720771200005,0.0001
1720800000000,0.0001
1720828800003,0.0001
1720857600013,0.0001
1720886400018,0.0001
1720915200000,0.0001
1720944000009,0.0001
1720972800000,0.0001
1721001600000,0.0001
1721030400003,0.0011028
1721059200000,0.00079338
1721088000000,0.00108412
1721116800002,0.00117863
1721145600000,0.00098863
1721174400003,0.00121492
1721203200000,0.00114647
1721232000000,0.00145637
1721260800000,0.00119086
1721289600010,0.00102207
1721318400000,0.00118433
1721347200003,0.00114278
1721376000003,0.00135056
1721404800006,0.00133675
1721433600012,0.00134739
1721462400000,0.00075695
1721491200009,0.00099087
1721520000000,0.00096966
1721548800009,0.00073795
1721577600015,0.000433
1721606400004,0.00042212
1721635200003,0.00048544
1721664000003,0.0001
