fundingTime,fundingRate
1732723200000,0.00047695
1732752000000,0.00038466
1732780800000,0.00115037
1732809600001,0.00114116
1732838400000,0.00096322
1732867200000,0.00109672
1732896000000,0.00106775
1732924800003,0.00112478
1732953600000,0.00146139
1732982400000,0.00148454
1733011200000,0.00122191
1733040000000,0.00113436
1733068800000,0.00123486
1733097600000,0.00134172
1733126400000,0.00133506
1733155200000,0.00144761
1733184000002,0.00129113
1733212800002,0.00143787
1733241600000,0.00103312
1733270400000,0.0001
1733299200000,0.0001
1733328000000,0.0001
1733356800001,0.0002896
1733385600000,0.00138725
1733414400001,0.0014879
1733443200000,0.00082554
1733472000000,0.00037474
1733500800000,0.00015975
1733529600000,0.00050855
1733558400001,0.00011952
1733587200000,0.00034633
1733616000001,0.00044821
1733644800000,0.0001
1733673600000,0.00083565
1733702400000,0.0007879
1733731200000,0.00069454
1733760000000,0.00051339
1733788800000,0.0001
1733817600000,0.0001
1733846400000,0.0001
1733875200033,0.0001
1733904000000,0.0001
1733932800000,0.0001
1733961600000,0.00034343
1733990400000,0.00035638
1734019200000,0.00029375
1734048000000,0.00030318
1734076800005,0.00023606
1734105600000,0.00036529
1734134400002,0.00045302
1734163200000,0.00036893
1734192000000,0.00045979
1734220800000,0.00038465
1734249600000,0.00043368
1734278400000,0.00043255
1734307200000,0.00063215
1734336000000,0.00062108
1734364800000,0.00058953
1734393600000,0.00061927
1734422400000,0.0001
1734451200000,0.0001
1734480000000,0.0001
1734508800000,0.00010153
1734537600000,0.00020968
1734566400000,0.0001
1734595200000,0.00021818
1734624000001,0.0001
1734652800000,0.0001
1734681600000,0.0001
1734710400000,0.0001
1734739200000,0.0001
1734768000000,0.0001
1734796800000,0.0001
1734825600000,0.0001
1734854400000,0.00017722
1734883200000,0.00011895
1734912000000,0.0001
1734940800000,0.0001
1734969600000,0.0001
1734998400000,0.00011647
1735027200000,0.0001
1735056000000,0.0001
1735084800000,0.0001
1735113600000,0.0001
1735142400000,0.00010197
1735171200000,0.00011028
1735200000000,0.00016536
1735228800000,0.0001
1735257600000,0.0001
1735286400000,0.0001
1735315200000,0.0001
1735344000000,0.0001
1735372800000,0.0001
1735401600000,0.0001
1735430400000,0.0001
1735459200000,0.0001
1735488000001,0.0001
1735516800000,0.0001
1735545600000,0.0001
1735574400000,0.0001
1735603200000,0.0001
1735632000000,0.0001
1735660800000,0.0001
1735689600000,0.0001
1735718400000,0.0001
1735747200000,0.0001
1735776000001,0.0001
1735804800000,0.0001
1735833600000,0.00019729
1735862400000,0.0001855
1735891200000,0.00014108
1735920000000,0.00012237
1735948800000,0.00025171
1735977600000,0.00040931
1736006400000,0.00044367
1736035200000,0.00032962
1736064000000,0.00033183
1736092800000,0.00056566
1736121600000,0.00045877
1736150400000,0.00035371
1736179200000,0.00027086
1736208000000,0.0001936
1736236800000,0.00031876
1736265600000,0.00031934
1736294400000,0.0001
1736323200000,0.0001
1736352000000,0.0001
1736380800000,0.0001
1736409600000,0.0001
1736438400001,0.0001
1736467200000,0.0001
1736496000001,0.0001
1736524800000,0.0001
1736553600000,0.0001
1736582400000,0.0001
1736611200000,0.0001
1736640000000,0.0001
1736668800000,0.0001
1736697600000,0.0001
1736726400000,0.0001
1736755200000,0.0001
1736784000000,0.0001
1736812800000,0.0001
1736841600000,0.0001
1736870400001,0.0001
1736899200000,0.0001
1736928000000,0.0001
1736956800000,0.0001
1736985600000,0.0001
1737014400000,0.0001
1737043200000,0.0001
1737072000000,0.0001
1737100800000,0.0001
1737129600000,0.0001
1737158400000,0.0001
1737187200000,0.0001
1737216000000,0.0001
1737244800000,0.0001
1737273600000,0.0001
1737302400000,0.0001
1737331200000,0.0001
1737360000000,0.0001
1737388800000,0.00017744
1737417600000,0.0001
1737446400001,0.00030215
1737475200000,0.00010466
1737504000000,0.0001
1737532800000,0.0001
1737561600000,0.0001
1737590400000,0.00032094
1737619200000,0.0001
1737648000000,0.0001
1737676800000,0.0001
1737705600000,0.0001
1737734400000,0.00509027
1737763200000,0.01491448
1737792000000,0.00104376
1737820800001,0.00069657
1737849600000,0.00081037
1737878400000,0.00063964
1737907200001,0.00051645
1737936000001,0.00085199
1737964800000,0.00053874
1737993600000,0.0001
1738022400000,0.0001
1738051200000,0.0001
1738080000000,0.0001
1738108800000,0.0001
1738137600000,0.0001
1738166400000,0.0001
1738195200001,0.0001
1738224000000,0.0001
1738252800000,0.00014259
1738281600000,0.0001
1738310400000,0.0001
1738339200000,0.00011466
1738368000000,0.0001
1738396800001,0.00030772
1738425600000,0.00015026
1738454400000,0.0001
1738483200000,0.0001
1738512000001,0.0001
1738540800000,0.0001
1738569600001,0.0001
1738598400000,0.0001
1738627200001,0.0001
1738656000000,0.0001
1738684800000,0.0001
1738713600000,0.0001
1738742400002,0.0001
1738771200000,0.0001
1738800000000,0.0001
1738828800000,0.0001
1738857600001,0.0001
1738886400000,0.0001
1738915200000,0.0001
1738944000000,0.0001
1738972800000,0.0001
1739001600000,0.0001
1739030400001,0.0001
1739059200000,0.0001
1739088000000,0.0001
1739116800000,0.0001
1739145600000,0.0001
1739174400001,0.0001
1739203200001,0.0001
1739232000000,0.0001
1739260800000,0.0001
1739289600000,0.0001
1739318400000,0.0001
1739347200000,0.0001
1739376000001,0.0001
1739404800000,0.0001
1739433600000,0.0001
1739462400000,0.0001
1739491200000,0.0001
1739520000000,0.0001
1739548800000,0.0001
1739577600000,0.0001
1739606400000,0.0001
1739635200000,0.0001
1739664000000,0.0001
1739692800000,0.0001
1739721600000,0.0001
1739750400000,0.0001
1739779200000,0.0001
1739808000000,0.0001
1739836800000,0.0001
1739865600000,0.0001
1739894400000,0.0001
1739923200000,0.0001
1739952000000,0.0001
1739980800000,0.0001
1740009600000,0.0001
1740038400000,0.0001
1740067200001,0.0001
1740096000000,0.0001
1740124800001,0.0001
1740153600000,0.0001
1740182400000,0.0001
1740211200000,0.0001
1740240000000,0.0001
1740268800000,0.0001
1740297600000,0.0001
1740326400000,0.0001
1740355200000,0.0001
1740384000000,0.0001
1740412800000,0.0001
1740441600000,0.0001
1740470400000,0.0001
1740499200000,0.0001
1740528000000,0.0001
1740556800000,0.0001
1740585600000,0.0001
1740614400000,0.0001
1740643200000,0.0001
1740672000000,0.0001
1740700800000,0.0001
1740729600000,0.0001
1740758400000,0.0001
1740787200001,0.0001
1740816000000,0.0001
1740844800000,0.0001
1740873600000,0.0001
1740902400000,0.0001
1740931200000,0.0001
1740960000000,0.0001
1740988800000,0.0001
1741017600000,0.0001
1741046400000,0.0001
1741075200000,0.0001
1741104000000,0.0001
1741132800000,0.0001
1741161600000,0.0001
1741190400000,0.0001
1741219200001,0.0001
1741248000000,0.0001
1741276800000,0.0001
1741305600000,0.0001
1741334400000,0.0001
1741363200000,0.0001
1741392000000,0.0001
1741420800000,0.0001
1741449600000,0.0001
1741478400000,0.0001
1741507200000,0.0001
1741536000000,0.0001
1741564800001,0.0001
1741593600000,0.0001
1741622400000,0.0001
1741651200000,0.0001
1741680000000,0.0001
1741708800000,0.0001
1741737600000,0.0001
1741766400000,0.0001
1741795200001,0.0001
1741824000000,0.0001
1741852800000,0.0001
1741881600000,0.0001
1741910400000,0.0001
1741939200000,0.0001
1741968000000,0.0001
1741996800000,0.0001
1742025600000,0.0001
1742054400000,0.0001
1742083200000,0.0001
1742112000000,0.0001
1742140800000,0.0001
1742169600000,0.0001
1742198400000,0.0001
1742227200000,0.0001
1742256000000,0.0001
1742284800001,0.0001
1742313600000,0.0001
1742342400000,0.0001
1742371200000,0.0001
1742400000000,0.0001
1742428800000,0.0001
1742457600000,0.0001
1742486400000,0.0001
1742515200000,0.0001
1742544000001,0.0001
1742572800000,0.0001
1742601600000,0.0001
1742630400000,0.0001
1742659200000,0.0001
1742688000000,0.0001
1742716800000,0.0001
1742745600000,0.0001
1742774400000,0.0001
1742803200001,0.0001
1742832000000,0.0001
1742860800000,0.0001
1742889600000,0.0001
1742918400000,0.0001
1742947200000,0.0001
1742976000000,0.0001
1743004800000,0.0001
1743033600000,0.0001
1743062400000,0.0001
1743091200000,0.0001
1743120000000,0.0001
1743148800000,0.0001
1743177600000,0.0001
1743206400000,0.0001
1743235200000,0.0001
1743264000000,0.0001
1743292800000,2.52e-05
1743321600000,-0.00012066
1743350400001,8.232e-05
1743379200000,3.773e-05
1743408000000,0.0001
1743436800000,0.0001
1743465600000,0.0001
1743494400000,0.0001
1743523200000,0.0001
1743552000000,0.0001
1743580800000,0.0001
1743609600000,0.0001
1743638400000,0.0001
1743667200000,0.0001
1743696000000,0.0001
1743724800000,-0.00016087
1743753600000,2.737e-05
1743782400000,7.777e-05
1743811200001,5.439e-05
1743840000000,0.0001
1743868800001,3.031e-05
1743897600000,-3.726e-05
1743926400000,0.0001
1743955200000,-4.299e-05
1743984000000,3.796e-05
1744012800000,9.963e-05
1744041600000,0.0001
1744070400000,-9.745e-05
1744099200000,-2.845e-05
1744128000000,-0.00018811
1744156800000,-6.3e-05
1744185600000,-5.664e-05
1744214400000,7.912e-05
1744243200000,0.0001
1744272000000,0.0001
1744300800000,4.927e-05
1744329600000,-5.899e-05
1744358400000,3.267e-05
1744387200000,0.0001
1744416000000,0.0001
1744444800000,2.318e-05
1744473600000,7.499e-05
1744502400000,4.974e-05
1744531200000,0.0001
1744560000000,0.0001
1744588800000,0.0001
1744617600000,5.599e-05
1744646400000,-1.345e-05
1744675200000,-4.731e-05
1744704000001,-0.0001105
1744732800000,0.0001
1744761600000,-6.33e-06
1744790400000,5.299e-05
1744819200000,3.897e-05
1744848000000,0.0001
1744876800000,0.0001
1744905600000,8.992e-05
1744934400000,7.418e-05
1744963200000,5.116e-05
1744992000000,2.412e-05
1745020800000,-2.27e-05
1745049600000,7e-07
1745078400000,-6.649e-05
1745107200001,-3.351e-05
1745136000000,-0.00011017
1745164800000,-7.261e-05
1745193600000,-0.00015974
1745222400000,-8.047e-05
1745251200000,0.0001
1745280000000,-0.00018239
1745308800000,0.0001
1745337600000,0.0001
1745366400000,0.0001
1745395200000,-2.97e-06
1745424000000,0.0001
1745452800001,0.0001
1745481600000,0.0001
1745510400000,0.0001
1745539200000,0.0001
1745568000000,0.0001
1745596800000,6.99e-05
1745625600000,4.436e-05
1745654400000,1.655e-05
1745683200000,-3.948e-05
1745712000000,5.533e-05
1745740800000,-6.359e-05
1745769600000,0.0001
1745798400000,3.452e-05
1745827200000,6.071e-05
1745856000000,-5.139e-05
1745884800000,-9.594e-05
1745913600000,-2.711e-05
1745942400000,7.492e-05
1745971200001,-6.85e-06
1746000000000,3.249e-05
1746028800000,-5.597e-05
1746057600000,9.311e-05
1746086400000,8.622e-05
1746115200000,-1.8e-06
1746144000000,3.929e-05
1746172800000,-3.811e-05
1746201600000,-3.563e-05
1746230400000,-0.000102
1746259200000,-5.71e-06
1746288000000,-8.371e-05
1746316800001,2.313e-05
1746345600000,-1.296e-05
1746374400000,-0.00012319
1746403200000,-5.262e-05
1746432000000,3.038e-05
1746460800000,-6.81e-05
1746489600001,7.054e-05
1746518400000,-3.052e-05
1746547200000,5.68e-06
1746576000000,0.0001
1746604800000,4.314e-05
1746633600000,0.0001
1746662400000,4.268e-05
1746691200000,7.226e-05
1746720000000,0.0001
1746748800000,0.0001
1746777600000,0.0001
1746806400000,0.0001
1746835200000,0.0001
1746864000000,0.0001
1746892800001,0.0001
1746921600000,0.0001
1746950400001,0.0001
1746979200000,0.0001
1747008000000,0.0001
1747036800000,0.0001
1747065600000,0.0001
1747094400000,0.0001
1747123200000,0.0001
1747152000000,0.0001
1747180800000,0.0001
1747209600000,0.0001
1747238400001,0.0001
1747267200000,4.371e-05
1747296000001,0.0001
1747324800001,0.0001
1747353600000,8.732e-05
1747382400000,0.0001
1747411200000,0.0001
1747440000000,0.0001
1747468800000,0.0001
1747497600000,0.0001
1747526400000,0.0001
1747555200001,0.0001
1747584000000,0.0001
1747612800002,0.0001
1747641600000,0.0001
1747670400000,3.151e-05
1747699200000,0.0001
1747728000002,0.0001
1747756800000,0.0001
1747785600001,0.0001
1747814400000,0.0001
1747843200000,0.0001
1747872000000,8.25e-05
1747900800001,0.0001
1747929600000,0.0001
1747958400000,7.984e-05
1747987200000,0.0001
1748016000001,0.0001
1748044800000,0.0001
1748073600000,0.0001
1748102400000,0.0001
1748131200000,0.0001
1748160000000,0.0001
1748188800000,9.781e-05
1748217600000,-1.97e-06
1748246400000,1.131e-05
1748275200000,0.0001
1748304000000,4.682e-05
1748332800000,8.572e-05
1748361600000,0.0001
1748390400000,0.0001
1748419200000,9.54e-05
1748448000000,4.004e-05
1748476800000,3.527e-05
1748505600000,0.0001
1748534400000,8.507e-05
1748563200000,0.0001
1748592000000,0.0001
1748620800001,0.0001
1748649600000,0.0001
1748678400000,0.0001
1748707200001,2.048e-05
1748736000000,2.391e-05
1748764800000,1.116e-05
1748793600000,5.804e-05
1748822400000,0.0001
1748851200000,0.0001
1748880000000,0.0001
1748908800000,0.0001
1748937600000,0.0001
1748966400000,7.789e-05
1748995200000,-1.786e-05
1749024000000,6.629e-05
1749052800000,2.685e-05
1749081600000,5.304e-05
1749110400000,5.317e-05
1749139200000,3.562e-05
1749168000002,6.93e-05
1749196800000,-5.469e-05
1749225600001,7.256e-05
1749254400000,0.0001
1749283200000,6.744e-05
1749312000000,6.52e-06
1749340800000,3.992e-05
1749369600000,0.0001
1749398400000,5.764e-05
1749427200000,0.0001
1749456000001,0.0001
1749484800000,0.0001
1749513600001,7.624e-05
1749542400000,0.0001
1749571200000,3.137e-05
1749600000000,0.0001
1749628800004,0.0001
1749657600000,0.0001
1749686400001,0.0001
1749715200001,0.0001
1749744000000,6.19e-05
1749772800000,5.845e-05
1749801600001,9.86e-06
1749830400000,5.797e-05
1749859200000,0.0001
1749888000000,0.0001
1749916800002,9.789e-05
1749945600001,-5.15e-06
1749974400000,0.0001
1750003200000,0.0001
1750032000000,0.0001
1750060800000,0.0001
1750089600000,2.562e-05
1750118400000,8.89e-05
1750147200000,0.0001
1750176000000,0.0001
1750204800000,0.0001
1750233600000,5.625e-05
1750262400000,1.642e-05
1750291200001,3.74e-05
1750320000001,3.126e-05
1750348800000,0.0001
1750377600000,9.259e-05
1750406400001,5.642e-05
1750435200000,6.216e-05
1750464000000,5.62e-06
1750492800000,-2.867e-05
1750521600000,3.285e-05
1750550400001,7.229e-05
1750579200001,7.624e-05
1750608000000,0.0001
1750636800001,0.0001
1750665600000,0.0001
1750694400000,0.0001
1750723200000,0.0001
1750752000001,5.909e-05
1750780800000,0.0001
