time,ret_net_lo5,equity_lo5,ret_net_ls5,equity_ls5,ret_net_lo10,equity_lo10,ret_net_ls10,equity_ls10,ret_net_btc,equity_btc,ret_net_ew,equity_ew
2023-10-31 00:00:00+00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2023-11-01 00:00:00+00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0220653923221778,1.0220653923221779,0.06422069516591691,1.064220695165917
2023-11-02 00:00:00+00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.013546601591183705,1.0082198796522523,-0.02799681086874609,1.0344259096407513
2023-11-03 00:00:00+00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.006433880083877019,1.001733113848389,0.013098116353075052,1.0479749405638614
2023-11-04 00:00:00+00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.009945910882288134,1.011696262126562,0.022633646819093352,1.0716944352438442
2023-11-05 00:00:00+00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0014314614054447006,1.010248057973295,0.01061934583035199,1.0830751290761624
2023-11-06 00:00:00+00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00097709691681791,1.0112351682359622,0.04577121039671902,1.132648788684561
2023-11-07 00:00:00+00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.010073306323187703,1.0214216498503832,-0.015577055765855503,1.115005455340093
2023-11-08 00:00:00+00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.006373039781779832,1.027931210658851,0.025959474565689013,1.1439504110985987
2023-11-09 00:00:00+00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.030214132209319677,1.0589892601597835,0.03371194172905972,1.1825152006984885
2023-11-10 00:00:00+00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.016363001752808914,1.0763175032799839,0.070501329195023,1.2658840941410512
2023-11-11 00:00:00+00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.004601139414014854,1.0713652163936482,0.032885994468681956,1.3075139514589662
2023-11-12 00:00:00+00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0017740371667116506,1.069464574680644,0.02952838104823984,1.3461227216435363
