time,ret_gross,cost,ret_funding,ret_net,equity,ret_price_only,equity_price_only
2025-11-06,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2025-11-07,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2025-11-08,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2025-11-09,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2025-11-10,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2025-11-11,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2025-11-12,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2025-11-13,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2025-11-14,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2025-11-15,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2025-11-16,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2025-11-17,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2025-11-18,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2025-11-19,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2025-11-20,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2025-11-21,-0.02438037361704948,0.0009999999999999998,-0.00016998676666666668,-0.02555036038371615,0.9744496396162838,-0.025380373617049482,0.9746196263829505
2025-11-22,0.038668882347903256,0.0016666666666666668,0.0004014961666666667,0.03740371184790326,1.0108976731467847,0.03700221568123659,1.0106827120055386
2025-11-23,0.01742876187410014,0.0009999999999999998,0.00014287083333333335,0.016571632707433472,1.0276498980909723,0.01642876187410014,1.0272869776113474
2025-11-24,-0.013295252609728452,0.0006666666666666666,-8.22634e-05,-0.014044182676395118,1.0132173951948038,-0.013961919276395118,1.012944079756246
2025-11-25,-0.01615422401551699,0.0009999999999999998,0.00014212009999999998,-0.01701210391551699,0.9959804355787404,-0.01715422401551699,0.9955678100969155
2025-11-26,0.024376803268938874,0.0013333333333333333,-9.999679999999998e-05,0.022943473135605543,1.0188316859460298,0.02304346993560554,1.0185091469977403
2025-11-27,-0.028065174170248525,0.0013333333333333333,0.00023687229999999994,-0.029161635203581858,0.9891208879866215,-0.029398507503581858,0.9885664981972605
2025-11-28,0.01706160400782238,0.0006666666666666666,-1.2689333333333375e-06,0.01639366840782238,1.005336207839525,0.016394937341155713,1.0047739839927705
2025-11-29,-0.01929262716333661,0.0013333333333333335,0.00035870946666666665,-0.020267251030003278,0.9849608065456897,-0.020625960496669943,0.9840495554908539
