time,trend_only,carry_only,static_50_50,hard_er,soft_er,hard_mom,soft_mom
2023-06-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 00:00:00+00:00,0.0,0.0,0.0,-0.00025,-0.000125,-0.00025,-0.000125
2023-06-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-08 00:00:00+00:00,0.0,-0.00017637287022886916,-8.818643511443458e-05,-0.00017637287022886916,-0.00013227965267165187,-0.00017637287022886916,-0.00013227965267165187
2023-06-09 00:00:00+00:00,0.0,7.890330246307364e-05,3.945165123153682e-05,7.890330246307364e-05,5.917747684730523e-05,7.890330246307364e-05,5.917747684730523e-05
2023-06-10 00:00:00+00:00,0.0,-0.00015262465422805072,-7.631232711402536e-05,-0.00015262465422805072,-0.00011446849067103804,-0.00015262465422805072,-0.00011446849067103804
2023-06-11 00:00:00+00:00,0.0,1.6433952795047446e-05,8.216976397523723e-06,1.6433952795047446e-05,1.2325464596285585e-05,1.6433952795047446e-05,1.2325464596285585e-05
2023-06-12 00:00:00+00:00,0.0,0.00010230878762595985,5.1154393812979926e-05,0.00010230878762595985,7.673159071946989e-05,0.00010230878762595985,7.673159071946989e-05
2023-06-13 00:00:00+00:00,0.0,9.423679698250531e-05,4.7118398491252655e-05,9.423679698250531e-05,7.067759773687898e-05,9.423679698250531e-05,7.067759773687898e-05
2023-06-14 00:00:00+00:00,0.0,7.520860027354637e-05,3.760430013677318e-05,7.520860027354637e-05,5.6406450205159775e-05,7.520860027354637e-05,5.6406450205159775e-05
2023-06-15 00:00:00+00:00,0.0,3.943674507467243e-05,1.9718372537336215e-05,3.943674507467243e-05,2.9577558806004323e-05,3.943674507467243e-05,2.9577558806004323e-05
2023-06-16 00:00:00+00:00,0.0,9.647430762416143e-05,4.823715381208071e-05,9.647430762416143e-05,7.235573071812107e-05,9.647430762416143e-05,7.235573071812107e-05
2023-06-17 00:00:00+00:00,0.0,-7.168479531394212e-05,-3.584239765697106e-05,-7.168479531394212e-05,-5.376359648545659e-05,-7.168479531394212e-05,-5.376359648545659e-05
2023-06-18 00:00:00+00:00,0.0,-4.372905309124597e-05,-2.1864526545622986e-05,-4.372905309124597e-05,-3.279678981843448e-05,-4.372905309124597e-05,-3.279678981843448e-05
2023-06-19 00:00:00+00:00,0.0,-5.0893828130060825e-05,-2.5446914065030413e-05,-5.0893828130060825e-05,-3.817037109754562e-05,-5.0893828130060825e-05,-3.817037109754562e-05
2023-06-20 00:00:00+00:00,0.0,-2.051039356609774e-05,-1.025519678304887e-05,-2.051039356609774e-05,-1.5382795174573305e-05,-2.051039356609774e-05,-1.5382795174573305e-05
2023-06-21 00:00:00+00:00,0.0,5.1628030433459315e-05,2.5814015216729658e-05,5.1628030433459315e-05,3.8721022825094487e-05,5.1628030433459315e-05,3.8721022825094487e-05
2023-06-22 00:00:00+00:00,0.0,0.00010722510706484556,5.361255353242278e-05,0.00010722510706484556,8.041883029863417e-05,0.00010722510706484556,8.041883029863417e-05
2023-06-23 00:00:00+00:00,0.0,5.278040004008666e-05,2.639020002004333e-05,5.278040004008666e-05,3.9585300030064996e-05,5.278040004008666e-05,3.9585300030064996e-05
2023-06-24 00:00:00+00:00,0.0,-4.5906610039336826e-05,-2.2953305019668413e-05,-4.5906610039336826e-05,-3.442995752950262e-05,-4.5906610039336826e-05,-3.442995752950262e-05
2023-06-25 00:00:00+00:00,0.0,0.00012021317811883314,6.010658905941657e-05,0.00012021317811883314,9.015988358912486e-05,0.00012021317811883314,9.015988358912486e-05
2023-06-26 00:00:00+00:00,0.0,-7.125350798276031e-07,-3.5626753991380156e-07,-7.125350798276031e-07,-5.344013098707023e-07,-7.125350798276031e-07,-5.344013098707023e-07
2023-06-27 00:00:00+00:00,0.0,1.0209417467210713e-05,5.1047087336053565e-06,1.0209417467210713e-05,7.657063100408035e-06,1.0209417467210713e-05,7.657063100408035e-06
2023-06-28 00:00:00+00:00,0.0,9.033048699391699e-05,4.5165243496958496e-05,9.033048699391699e-05,6.774786524543774e-05,9.033048699391699e-05,6.774786524543774e-05
2023-06-29 00:00:00+00:00,0.0,0.00017935035791882825,8.967517895941413e-05,0.00017935035791882825,0.0001345127684391212,0.00017935035791882825,0.0001345127684391212
2023-06-30 00:00:00+00:00,0.0,0.0002368742720899597,0.00011843713604497985,0.0002368742720899597,0.00017765570406746978,0.0002368742720899597,0.00017765570406746978
2023-07-01 00:00:00+00:00,0.0,0.0001146237103797354,5.73118551898677e-05,0.0001146237103797354,8.596778278480155e-05,0.0001146237103797354,8.596778278480155e-05
2023-07-02 00:00:00+00:00,0.00037568879067242006,0.0002430297036293272,0.0003093592471508736,0.0002430297036293272,0.0002761944753901004,0.0002430297036293272,0.0002761944753901004
2023-07-03 00:00:00+00:00,0.0014961955839594883,0.0005185802626419544,0.0010073879233007212,0.0005185802626419544,0.0007629840929713378,0.0009961955839594883,0.0010017917536301049
2023-07-04 00:00:00+00:00,-0.0012443041265213536,0.0003856489978060207,-0.00042932756435766647,-0.0017443041265213536,-0.0010868158454395102,-0.0012443041265213536,-0.00083681584543951
2023-07-05 00:00:00+00:00,-0.001213985049459428,7.546580867812125e-05,-0.0005692596203906534,-0.00042453419132187876,-0.000496896905856266,-0.001213985049459428,-0.0008916223349250407
2023-07-06 00:00:00+00:00,-0.002976528800344954,0.0001223208170479939,-0.00142710399164848,-0.003476528800344954,-0.002451816395996717,-0.0003776791829520061,-0.000902391587300243
2023-07-07 00:00:00+00:00,0.0008071138576475808,0.00011230865891764807,0.00045971125828261444,-0.00038769134108235194,3.600995860013128e-05,0.00011230865891764807,0.0002860099586001313
2023-07-08 00:00:00+00:00,0.00046713366723016234,-9.640370008312527e-05,0.00018536498357351854,-3.2866332769837666e-05,7.624932540184042e-05,-9.640370008312527e-05,4.448064174519664e-05
2023-07-09 00:00:00+00:00,-0.0015481525349205648,6.418448884537575e-05,-0.0007419840230375945,-0.0015481525349205648,-0.0011450682789790796,6.418448884537575e-05,-0.0003388997670961094
2023-07-10 00:00:00+00:00,0.0009348610962516822,9.894439371826991e-05,0.0005169027449849761,0.0009348610962516822,0.0007258819206183291,9.894439371826991e-05,0.000307923569351623
2023-07-11 00:00:00+00:00,0.002330896961296273,0.00014691988737469686,0.0012389084243354849,0.002330896961296273,0.001784902692815879,0.00014691988737469686,0.0006929141558550909
2023-07-12 00:00:00+00:00,-0.0009581295441013863,9.394534841455915e-05,-0.00043209209784341357,-0.0009581295441013863,-0.0006951108209724,9.394534841455915e-05,-0.0001690733747144272
2023-07-13 00:00:00+00:00,0.016207957947954276,0.00014987076053096793,0.008178914354242622,0.016207957947954276,0.012193436151098448,0.00014987076053096793,0.004164392557386795
2023-07-14 00:00:00+00:00,-0.0024552334844957966,0.0007876621509816939,-0.0008337856667570513,-0.0024552334844957966,-0.0016445095756264239,-0.0029552334844957966,-0.0018945095756264239
2023-07-15 00:00:00+00:00,0.0014203535049346595,0.00019117284623537678,0.0008057631755850181,0.0014203535049346595,0.0011130583402598389,0.0014203535049346595,0.0011130583402598389
2023-07-16 00:00:00+00:00,-0.0004539520053324487,2.0659743181772328e-05,-0.0002166461310753382,-0.0004539520053324487,-0.00033529906820389344,-0.0004539520053324487,-0.00033529906820389344
