N,M,long_short,cost_bps,cagr,sharpe,sortino,max_dd,calmar,exposure,n_trades,win_rate,profit_factor,avg_trade
20,10,False,5.0,0.22993657577446203,0.7869851674767275,0.901892741909547,-0.3845393841019483,0.5979532533746964,0.5706472196900638,51,0.35294117647058826,2.198406354149094,0.0595141031395186
20,10,False,10.0,0.22300088773538307,0.7700037081768376,0.8832811444424594,-0.38781969430808494,0.5750117670873893,0.5706472196900638,51,0.35294117647058826,2.198406354149094,0.0595141031395186
20,20,False,5.0,0.31519833259753716,0.90964527235121,1.182245426761115,-0.40706682919786974,0.7743159353431951,0.7338195077484048,36,0.4166666666666667,2.845832838235189,0.12332131523435375
20,20,False,10.0,0.3098878622439951,0.8989975724565635,1.168718633001837,-0.4087476052437755,0.7581398845362756,0.7338195077484048,36,0.4166666666666667,2.845832838235189,0.12332131523435375
55,10,False,5.0,0.3237034351864918,1.1317903918501984,1.053798488272064,-0.26694643734696466,1.2126156782746533,0.3974475843208751,26,0.5384615384615384,3.8574979328840433,0.13746703546805025
55,10,False,10.0,0.31989694125261003,1.1216322538387862,1.0451541666341415,-0.2709706971186284,1.1805591698816134,0.3974475843208751,26,0.5384615384615384,3.8574979328840433,0.13746703546805025
55,20,False,5.0,0.2854098075792477,0.958902732817832,0.993525140013718,-0.28557923539497376,0.9994067222167196,0.4986326344576117,21,0.5238095238095238,4.361814370874641,0.17283548215688188
55,20,False,10.0,0.28235072952568796,0.9512812267196539,0.9858823715874745,-0.2886691990999397,0.9781117292944571,0.4986326344576117,21,0.5238095238095238,4.361814370874641,0.17283548215688188
55,20,True,5.0,0.11281359494844367,0.4655072949561857,0.5898714308073697,-0.5571413341231465,0.2024864931732173,0.9416590701914311,34,0.5,2.102715919105678,0.08963090299046245
