sticky,a,thr,carry,weights,train_ret,train_ann,train_dd,train_calmar,test_ret,test_ann,test_dd,test_calmar,fwd_ret,fwd_ann,fwd_dd,fwd_calmar
0,0.0,0.1,False,equal,69.33783285076412,30.41419783395338,8.506437589579875,3.5754330192476624,1.6498182915020365,1.7411995663627389,5.66090509864644,0.3075832461454037,1.272666028648639,4.49417535261285,6.808285881849074,0.6601037956696774
0,0.0,0.1,False,invvol,58.95942470653359,26.32147856502105,8.315333542648151,3.1654146439252218,-0.5046727171136633,-0.5323120705269857,6.419733720519993,-0.08291809188681877,0.8885557384831655,3.122918004626496,6.997792344813803,0.4462718884393519
0,0.0,0.1,True,equal,78.56222405664504,33.94858195293067,7.379006929057075,4.600697936635327,1.826322841350403,1.9275728303784545,5.660751001976061,0.3405153891604798,1.353378626169821,4.783958564817392,6.867821371864147,0.6965758580175292
0,0.0,0.1,True,invvol,67.60044080336375,29.73790933795084,7.342440220386981,4.0501397962193435,-0.09215722349158462,-0.09721541962679492,5.898419167396796,-0.016481605811290604,0.9182671515772567,3.2285264151401316,7.0710087810100575,0.45658639596243766
0,0.0,0.2,False,equal,72.7236323702587,31.722323589236368,8.632108081858458,3.6749219644162148,1.4197088410167424,1.4982509362993168,6.004174124508566,0.2495348910991063,1.4903530474435156,5.277048524631911,6.944269989208962,0.7599140777694664
0,0.0,0.2,False,invvol,62.06134012554565,27.55824938565734,8.487620853059196,3.2468756395644736,-0.7161836915786424,-0.7553627975601107,6.898402896817169,-0.10949821413136439,1.0714371735654815,3.7741878038010768,7.121449267287494,0.5299746810158259
0,0.0,0.2,True,equal,81.96142946887153,35.22809574479084,7.628186538741478,4.618148175307061,1.6027759983580525,1.6915300447106763,5.962485712984544,0.2836954461839666,1.5698417673259968,5.563954172038543,7.011068105212859,0.793595795753523
0,0.0,0.2,True,invvol,70.68622499865155,30.93669815113522,7.64902928088601,4.0445260457352745,-0.3031978028391835,-0.3198207410578968,6.365177412954781,-0.050245377356957714,1.0970115675439596,3.865495181326528,7.200795834414375,0.5368149952054432
0,0.0,0.5,False,equal,81.25881563392998,34.96459918147532,9.412648443296789,3.714639869119444,0.9787887135912499,1.0328138618968863,6.6986467834026175,0.1541824633082478,1.6478768980118685,5.8461546005247556,6.955937427923198,0.8404553176479931
0,0.0,0.5,False,invvol,69.92276063725886,30.641109059068516,8.931023938450844,3.430861821694261,-0.9591981912982384,-1.011603625266977,7.307540250760081,-0.13843285025515348,1.131648689911846,3.989250126293342,7.214669429604492,0.5529359543382478
0,0.0,0.5,True,equal,90.51240304556775,38.3953602586091,8.424397702357556,4.5576386128902975,1.1778100844386685,1.2428878389404874,6.303765226020519,0.19716594675990265,1.7290925298889537,6.140427004596272,7.012831811221609,0.8755987837567478
0,0.0,0.5,True,invvol,78.51041216982988,33.92898613091033,7.814430511484094,4.341837333001844,-0.566860280772008,-0.597895208397714,6.796912833974378,-0.08796570193001947,1.1516011172605145,4.0605857960804626,7.291419456196224,0.5568992183860428
