,FRAB,XSMOM
2026-06-17,0.043870999999981564,-3.682827999999999
2026-06-18,-0.005083499999983587,7.601629473999992
2026-06-19,0.026115499999988856,0.2557320000000004
2026-06-20,0.013544000000010215,-3.1759610000000027
2026-06-21,0.010416499999990947,0.6194290000000001
2026-06-22,0.0034040000000032933,-1.2698990000000034
2026-06-23,0.014279999999999404,-4.542942999999993
2026-06-24,-0.023375500000000216,0.1358570000000024
2026-06-25,-0.0043665000000032705,-0.3997920000000008
2026-06-26,0.02966899999999839,2.740604000000001
2026-06-27,0.01159950000001686,2.4914239999999994
2026-06-28,0.004333999999985849,-0.9734039999999986
2026-06-29,-0.0028915000000040436,-6.369540000000011
2026-06-30,0.007288000000002626,-2.8737410000000008
2026-07-01,0.0401094999999998,-0.9849169999999983
2026-07-02,6.249999999852207e-05,-1.1241261883500007
2026-07-03,0.04088700000001211,-3.080131999999999
2026-07-04,0.0005954999999886468,-1.0299899999999953
2026-07-05,-0.022902000000001976,0.5031789999999954
2026-07-06,0.05327149999999392,3.121121000000004
2026-07-07,-0.009626499999981775,0.07663199999999579
2026-07-08,0.05069849999999576,-1.3707089999999982
2026-07-09,-0.016642500000003224,-1.564839000000001
2026-07-10,0.0842970000000065,-1.7157570000000053
2026-07-11,-0.04344650000000172,0.20083099999999485
2026-07-12,0.02295750000000396,-0.1391309999999955
2026-07-13,0.04095799999998917,3.6959019999999967
2026-07-14,-0.02961899999999673,-2.1040839999999874
2026-07-15,0.058226000000004774,0.006036000000000023
2026-07-16,0.02092949999997984,2.299179000000001
2026-07-17,0.047467000000025905,-1.3031240000000026
2026-07-18,0.009595000000004461,-0.22827899999999718
2026-07-19,0.012386999999989712,0.7734359999999932
2026-07-20,0.014723500000002332,-0.0009819999999978162
2026-07-21,0.05527750000000253,-0.8604949999999965
2026-07-22,-0.0005280000000027485,2.448025000000002
2026-07-23,0.018216499999979874,-0.8996559999999968
2026-07-24,-0.024915499999977442,-2.642853000000009
2026-07-25,0.015554499999993254,-1.670915000000002
2026-07-26,0.03213399999998501,3.148019999999994
2026-07-27,-0.01451949999999158,0.015391999999999979
2026-07-28,-0.000251500000004512,0.09839100000000597
2026-07-29,0.04499550000001307,-0.8225520000000035
2026-07-30,0.02731949999999017,3.720522000000009
2026-07-31,-0.016485999999986234,-2.1543729999999974
2026-08-01,0.0035299999999978127,-1.9823699999999933
2026-08-02,0.026280999999997334,-0.6795340000000063
2026-08-03,0.017198499999992123,-4.2848840000000035
2026-08-04,0.018024000000011142,-0.6916269999999972
2026-08-05,-0.01061150000001021,2.471409000000004
2026-08-06,0.008046500000006063,3.219773999999999
2026-08-07,0.036818500000009635,0.3928940000000007
2026-08-08,-0.008208500000009167,-1.7437509999999965
2026-08-09,0.016067500000005452,-0.7700660000000028
2026-08-10,-0.0001469999999983429,-3.6475069999999996
2026-08-11,-0.006590000000016971,-1.552653000000002
2026-08-12,0.028165999999998803,-0.009470000000000712
2026-08-13,0.0011515000000059672,-1.6060929999999896
2026-08-14,0.023077499999999418,-0.8682070000000064
2026-08-15,0.009867499999998586,1.6484680000000067
2026-08-16,0.02177000000000362,0.1380599999999971
2026-08-17,0.033111499999989746,-0.21505300000000116
2026-08-18,-0.6791958199999897,1.9027960000000024
2026-08-19,0.4920436900000027,-3.1543530000000044
2026-08-20,0.03871700000000544,2.321287000000001
2026-08-21,0.013119500000001949,-0.1332999999999949
2026-08-22,0.1856314999999995,5.277666999999988
2026-08-23,0.03563149999999382,-4.73774199999999
2026-08-24,0.10620499999998856,2.2495849999999953
2026-08-25,0.06226300000000151,0.38180200000000264
2026-08-26,-0.10933999999998889,1.345214
2026-08-27,0.15294400000000508,4.686866000000003
2026-08-28,0.011542999999988979,-2.8645710000000055
2026-08-29,-0.022144000000011488,0.1604690000000037
2026-08-30,0.01045300000001248,-2.4585170000000067
2026-08-31,0.03922300000000689,1.0764470000000008
2026-09-01,-0.017025000000003843,2.5958469999999987
2026-09-02,0.02854899999999816,-4.191822000000005
2026-09-03,-0.01428099999999688,4.0034882840499995
2026-09-04,0.08856500000000267,-1.2710870000000047
2026-09-05,0.020068999999992343,8.337416000000005
2026-09-06,0.09501899999999353,1.9810430000000074
2026-09-07,-0.04878999999999678,-12.911025999999985
2026-09-08,-0.015850999999983628,-5.105861
2026-09-09,0.051083999999974594,-3.4996860000000103
2026-09-10,0.03240800000000377,-4.363432999999999
2026-09-11,-0.01922299999998245,-1.0233800000000017
