pair,coint_pval,entries
INJ-TIA,0.0007025182152525825,11
AVAX-OP,0.0010606080622559424,13
OP-INJ,0.005095300838143986,12
AVAX-ARB,0.005465340074364069,15
OP-TIA,0.009913033612468912,12
ARB-TIA,0.014918203700446508,13
AVAX-INJ,0.023426770949579907,11
LINK-ARB,0.02664720792539366,15
