time,trend,carry,w100,w075,w050,w025,w000,inv_vol,eq_trend,eq_carry,eq_w100,eq_w075,eq_w050,eq_w025,eq_w000,eq_inv_vol
2023-06-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-06-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-06-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-06-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-06-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-06-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-06-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-06-08 00:00:00+00:00,0.0,-0.00017637287022886916,0.0,-4.409321755721729e-05,-8.818643511443458e-05,-0.00013227965267165187,-0.00017637287022886916,-0.0001693073230337482,1.0,0.9998236271297711,1.0,0.9999559067824428,0.9999118135648856,0.9998677203473283,0.9998236271297711,0.9998306926769662
2023-06-09 00:00:00+00:00,0.0,7.890330246307364e-05,0.0,1.972582561576841e-05,3.945165123153682e-05,5.917747684730523e-05,7.890330246307364e-05,7.574241379192871e-05,1.0,0.9999025165158323,1.0,0.9999756317382835,0.9999512617370168,0.9999268899961995,0.9999025165158323,0.9999064222670128
2023-06-10 00:00:00+00:00,0.0,-0.00015262465422805072,0.0,-3.815616355701268e-05,-7.631232711402536e-05,-0.00011446849067103804,-0.00015262465422805072,-0.00014651046730016347,1.0,0.9997499067399873,1.0,0.9999374765045259,0.999874953129233,0.9998124298743202,0.9997499067399873,0.99975992550983
2023-06-11 00:00:00+00:00,0.0,1.6433952795047446e-05,0.0,4.1084881987618616e-06,8.216976397523723e-06,1.2325464596285585e-05,1.6433952795047446e-05,1.5775603985930027e-05,1.0,0.9997663365827615,1.0,0.9999415847358476,0.9998831690781234,0.9998247530270276,0.9997663365827615,0.9997756973264958
2023-06-12 00:00:00+00:00,0.0,0.00010230878762595985,0.0,2.5577196906489963e-05,5.1154393812979926e-05,7.673159071946989e-05,0.00010230878762595985,9.821026858213639e-05,1.0,0.9998686214645666,1.0,0.9999671604386553,0.9999343174955212,0.9999014711707681,0.9998686214645666,0.9998738855662521
2023-06-13 00:00:00+00:00,0.0,9.423679698250531e-05,0.0,2.3559199245626328e-05,4.7118398491252655e-05,7.067759773687898e-05,9.423679698250531e-05,9.046164417281919e-05,1.0,0.9999628458808567,1.0,0.9999907188642272,0.9999814327991582,0.9999721418047239,0.9999628458808567,0.9999643358019059
