time,coin,position_delta,new_position
2023-09-11 06:00:00+00:00,BTC,-1.0,0.0
2023-09-11 11:00:00+00:00,BTC,1.0,1.0
2023-09-12 23:00:00+00:00,BTC,-1.0,0.0
2023-09-14 00:00:00+00:00,BTC,-1.0,-1.0
2023-09-15 11:00:00+00:00,BTC,1.0,0.0
2023-09-18 02:00:00+00:00,BTC,-1.0,-1.0
2023-09-18 17:00:00+00:00,BTC,1.0,0.0
2023-09-19 09:00:00+00:00,BTC,-1.0,-1.0
2023-09-20 03:00:00+00:00,BTC,1.0,0.0
2023-09-21 08:00:00+00:00,BTC,1.0,1.0
2023-09-22 14:00:00+00:00,BTC,-1.0,0.0
2023-09-24 17:00:00+00:00,BTC,-1.0,-1.0
2023-09-25 16:00:00+00:00,BTC,1.0,0.0
2023-09-27 09:00:00+00:00,BTC,-1.0,-1.0
2023-09-27 15:00:00+00:00,BTC,1.0,0.0
2023-09-28 14:00:00+00:00,BTC,-1.0,-1.0
2023-09-29 16:00:00+00:00,BTC,1.0,0.0
2023-10-01 06:00:00+00:00,BTC,-1.0,-1.0
2023-10-02 18:00:00+00:00,BTC,1.0,0.0
2023-10-04 22:00:00+00:00,BTC,-1.0,-1.0
2023-10-05 15:00:00+00:00,BTC,1.0,0.0
2023-10-06 12:00:00+00:00,BTC,1.0,1.0
2023-10-06 14:00:00+00:00,BTC,-1.0,0.0
2023-10-06 15:00:00+00:00,BTC,-1.0,-1.0
2023-10-07 19:00:00+00:00,BTC,1.0,0.0
2023-10-09 08:00:00+00:00,BTC,1.0,1.0
2023-10-10 02:00:00+00:00,BTC,-1.0,0.0
2023-10-11 02:00:00+00:00,BTC,1.0,1.0
2023-10-13 00:00:00+00:00,BTC,-1.0,0.0
2023-10-13 20:00:00+00:00,BTC,-1.0,-1.0
2023-10-13 22:00:00+00:00,BTC,1.0,0.0
2023-10-15 17:00:00+00:00,BTC,-1.0,-1.0
2023-10-18 01:00:00+00:00,BTC,1.0,0.0
2023-10-19 14:00:00+00:00,BTC,-1.0,-1.0
2023-10-22 07:00:00+00:00,BTC,1.0,0.0
2023-10-23 01:00:00+00:00,BTC,-1.0,-1.0
2023-10-25 07:00:00+00:00,BTC,1.0,0.0
2023-10-27 17:00:00+00:00,BTC,1.0,1.0
2023-10-28 02:00:00+00:00,BTC,-1.0,0.0
2023-10-29 12:00:00+00:00,BTC,-1.0,-1.0
2023-10-30 02:00:00+00:00,BTC,1.0,0.0
2023-11-01 12:00:00+00:00,BTC,-1.0,-1.0
2023-11-01 16:00:00+00:00,BTC,1.0,0.0
2023-11-01 20:00:00+00:00,BTC,-1.0,-1.0
2023-11-02 13:00:00+00:00,BTC,1.0,0.0
2023-11-04 22:00:00+00:00,BTC,-1.0,-1.0
2023-11-05 13:00:00+00:00,BTC,1.0,0.0
2023-11-07 10:00:00+00:00,BTC,1.0,1.0
2023-11-08 15:00:00+00:00,BTC,-1.0,0.0
2023-11-09 02:00:00+00:00,BTC,-1.0,-1.0
2023-11-10 07:00:00+00:00,BTC,1.0,0.0
2023-11-13 11:00:00+00:00,BTC,1.0,1.0
2023-11-15 11:00:00+00:00,BTC,-1.0,0.0
2023-11-15 18:00:00+00:00,BTC,-1.0,-1.0
2023-11-16 13:00:00+00:00,BTC,1.0,0.0
2023-11-19 18:00:00+00:00,BTC,-1.0,-1.0
2023-11-21 07:00:00+00:00,BTC,1.0,0.0
2023-11-21 14:00:00+00:00,BTC,1.0,1.0
2023-11-21 16:00:00+00:00,BTC,-1.0,0.0
2023-11-21 22:00:00+00:00,BTC,1.0,1.0
2023-11-23 15:00:00+00:00,BTC,-1.0,0.0
2023-11-24 15:00:00+00:00,BTC,-1.0,-1.0
2023-11-25 10:00:00+00:00,BTC,1.0,0.0
2023-11-26 13:00:00+00:00,BTC,1.0,1.0
2023-11-26 21:00:00+00:00,BTC,-1.0,0.0
2023-11-27 02:00:00+00:00,BTC,1.0,1.0
2023-11-27 23:00:00+00:00,BTC,-1.0,0.0
2023-11-28 16:00:00+00:00,BTC,-1.0,-1.0
2023-11-29 16:00:00+00:00,BTC,1.0,0.0
2023-12-01 08:00:00+00:00,BTC,-1.0,-1.0
2023-12-07 06:00:00+00:00,BTC,1.0,0.0
2023-12-07 19:00:00+00:00,BTC,1.0,1.0
2023-12-08 11:00:00+00:00,BTC,-1.0,0.0
2023-12-08 20:00:00+00:00,BTC,-1.0,-1.0
