time,ret_gross,cost,ret_funding,ret_net,equity,cost_bps,flavor
2023-11-12 00:00:00+00:00,0.05244862089278231,0.0,0.0,0.05244862089278231,1.2299006274099946,0,A
2023-11-13 00:00:00+00:00,0.03128093306905929,0.0,0.0,0.03128093306905929,1.2683730666176007,0,A
2023-11-14 00:00:00+00:00,-0.18897772504790059,0.0,0.0,-0.18897772504790059,1.0286788099761772,0,A
2023-11-15 00:00:00+00:00,-0.04510153626399164,0.0,0.0,-0.04510153626399164,0.982283815324037,0,A
2023-11-16 00:00:00+00:00,-0.02345582777471836,0.0,0.0,-0.02345582777471836,0.9592435353259031,0,A
2023-11-17 00:00:00+00:00,-0.08145994909188677,0.0,0.0,-0.08145994909188677,0.8811036057715336,0,A
2023-11-18 00:00:00+00:00,-0.012597892203728051,0.0,0.0,-0.012597892203728051,0.8700035575257077,0,A
2023-11-19 00:00:00+00:00,0.024929838683682037,0.0,0.0,0.024929838683682037,0.8916926058690531,0,A
2023-11-20 00:00:00+00:00,0.061360895051257566,0.0,0.0,0.061360895051257566,0.9464076622757664,0,A
2023-11-21 00:00:00+00:00,0.034873062075805136,0.0,0.0,0.034873062075805136,0.9794117954313268,0,A
2023-11-22 00:00:00+00:00,-0.023765351371425686,0.0,0.0,-0.023765351371425686,0.9561357299755825,0,A
2023-11-23 00:00:00+00:00,0.04398915073929832,0.0,0.0,0.04398915073929832,0.9981953287287073,0,A
2023-11-24 00:00:00+00:00,0.0116428706417947,0.0,0.0,0.0116428706417947,1.0098171878163396,0,A
2023-11-25 00:00:00+00:00,-0.03238893949610917,0.0,0.0,-0.03238893949610917,0.977110280018025,0,A
2023-11-26 00:00:00+00:00,0.025179076977593993,0.0,0.0,0.025179076977593993,1.0017130149741973,0,A
2023-11-27 00:00:00+00:00,0.027159402000094663,0.0,0.0,0.027159402000094663,1.0289189414366084,0,A
2023-11-28 00:00:00+00:00,0.03507148600580241,0.0,0.0,0.03507148600580241,1.0650046576923073,0,A
2023-11-29 00:00:00+00:00,-0.0077001574925165475,0.0,0.0,-0.0077001574925165475,1.056803954097813,0,A
