path_seed,generator,horizon_h,coins,mbuf,annual,max_dd,calmar,sharpe,annual_pct_raw,max_dd_pct_raw,total_funding,total_fees,final_equity,n_liquidations,n_forced_closes,n_phase1_neg_exits,n_phase1_cap_exits,n_phase1_negstop_exits,n_phase2_exits
1000,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.012929383886624457,0.0005540340924275123,23.33680194656268,13.432391798173406,1.2929383886624457,0.05540340924275123,17.320899342194934,4.604230626190452,1012.7166687160084,0,0,0,0,11,11
1001,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.008716627231190044,0.0008624923972758444,10.106323555687265,7.060302012823553,0.8716627231190044,0.08624923972758443,14.171970903941013,5.773089410333015,1008.3988814936124,0,0,0,0,17,10
1002,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.017812210280248264,0.0005559149793587468,32.04124900680823,18.160921083334433,1.7812210280248264,0.05559149793587468,21.796673308207307,4.305073874194473,1017.4915994340103,0,0,0,0,7,14
1003,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.02722317887044179,0.0006604860244759452,41.21688856632765,23.934880703846257,2.722317887044179,0.06604860244759451,30.596045184891235,3.6964416157939377,1026.8996035690977,0,0,0,0,5,13
1004,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.007803140235600692,0.0008108673489140568,9.623201928220372,8.317151887288059,0.7803140235600692,0.08108673489140568,13.226369958776232,5.634868382626876,1007.5915015761515,0,0,0,0,17,10
1005,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.016471287918105926,0.0005984513890147947,27.523184372956194,12.063701785964065,1.6471287918105926,0.059845138901479474,22.919925540834747,6.768826078424471,1016.1510994624119,0,0,0,0,21,11
1006,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.013927241895824505,0.0006271101515748186,22.208605395479534,13.448473363111617,1.3927241895824505,0.06271101515748186,18.578482671213948,4.75770313579239,1013.8207795354255,0,0,0,0,10,13
1007,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.010504616972285108,0.0006311983148436296,16.642340014623578,11.418273508821057,1.0504616972285108,0.06311983148436295,14.91990921278521,4.73360119484537,1010.1863080179389,0,0,0,0,9,13
1008,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.01590154795719556,0.000814009005006067,19.534855093006055,14.245897540792628,1.590154795719556,0.08140090050060671,21.115726648986858,5.320848354323827,1015.7948782946601,0,0,0,0,10,15
1009,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.016189208672879207,0.0005682244145251802,28.490871316057824,17.659737995818816,1.6189208672879207,0.056822441452518024,20.687154984967624,4.818045912816809,1015.8691090721475,0,0,0,0,11,12
1010,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.01760189816433244,0.0007297406365038242,24.120759190090954,20.382331157971763,1.7601898164332441,0.07297406365038242,21.317749924675184,4.0363963582646125,1017.2813535664109,0,0,0,0,7,13
1011,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.00838492777708355,0.0010103141641976748,8.299327154086086,8.341208802319716,0.8384927777083551,0.10103141641976748,14.214786837881281,6.041619895626985,1008.1731669422506,0,0,0,0,16,13
1012,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.014210955851740259,0.00046784884815700967,30.37510064996692,13.676528114625857,1.421095585174026,0.046784884815700964,18.627291169153615,4.735811768503497,1013.8914794006472,0,0,0,0,9,14
1013,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.01089420420503262,0.0005624439880789674,19.36940288443988,12.324059454588,1.089420420503262,0.056244398807896744,15.162053631266577,4.373993317679405,1010.7880603135912,0,0,0,1,7,12
1014,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.014350764165258934,0.0006099668595545193,23.52712108939789,15.703562018948125,1.4350764165258934,0.060996685955451935,18.329167584473087,4.297923909926313,1014.031243674547,0,0,0,0,8,13
1015,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.011571949918815827,0.0005384449910490354,21.4914245859555,12.25743868976516,1.1571949918815827,0.05384449910490354,16.025006008574312,4.665486199246606,1011.359519809333,0,0,0,0,13,8
1016,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.010555733274485668,0.0007746236274242484,13.626918803890899,11.590936500385473,1.0555733274485668,0.07746236274242484,15.554286412169082,5.316878193663078,1010.2374082185045,0,0,0,0,16,10
1017,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.01953223159394435,0.0007945943022844956,24.581388939976378,17.335833224162254,1.953223159394435,0.07945943022844956,25.755212201632915,6.5441332606407165,1019.2110789409924,0,0,0,0,14,15
1018,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.018170539941525288,0.0003790749343725217,47.933899854398895,20.0755236360498,1.8170539941525288,0.03790749343725217,21.130151580257138,3.1734274521213854,1017.9567241281377,0,0,0,0,6,10
1019,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.014455923814598926,0.0006925804986892128,20.8725539369913,13.13093700283942,1.4455923814598926,0.06925804986892128,19.464162383455516,5.22127431285942,1014.242888070598,0,0,0,0,11,14
1020,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.0073864725548220544,0.001038087316372629,7.115463640026429,7.299082547654379,0.7386472554822054,0.10380873163726291,12.095966871330619,5.026821055361626,1007.0691458159674,0,0,1,0,14,9
1021,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.01367622337345753,0.00047045531635580206,29.07018562229255,16.493486004946874,1.367622337345753,0.04704553163558021,16.883794828463465,3.5268794653697464,1013.356915363095,0,0,0,0,9,9
1022,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.02226573806702703,0.0004244617428014546,52.45640730793024,20.791794022793173,2.226573806702703,0.042446174280145466,26.632880908902226,4.689156549371717,1021.9437243595362,0,0,0,0,9,14
1023,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.015519571293352463,0.0005350481870110248,29.005931933066577,16.48401021885722,1.5519571293352463,0.053504818701102484,20.37072760389327,5.171044975495812,1015.1996826283953,0,0,0,0,10,14
1024,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.018330348006196928,0.0007518990118388382,24.378736662212624,17.554170349488942,1.8330348006196928,0.07518990118388381,21.968831684264536,3.9592577376893483,1018.0095739465752,0,0,0,0,9,10
1025,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.015087654297998077,0.0007082918461181127,21.301465463266258,14.362109129452227,1.5087654297998077,0.07082918461181127,20.038974896453578,5.27107320956075,1014.7679016868944,0,0,0,0,14,11
1026,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.02076029260177492,0.0007962547118809123,26.072426689614147,18.49328881866421,2.076029260177492,0.07962547118809123,24.54773790972024,4.108984800114156,1020.4387531096055,0,0,0,0,6,14
1027,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.010391680881597365,0.0006843797843733889,15.184085092624239,10.755864068461147,1.0391680881597365,0.06843797843733888,14.377278927552739,4.197780298944242,1010.1794986286125,0,0,0,0,12,8
1028,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.013831739514144514,0.000680476534850149,20.326548831239958,11.194339886160275,1.3831739514144514,0.0680476534850149,19.37694996410533,5.8645674479045,1013.5123825161977,0,0,0,0,18,10
1029,bootstrap,8760,"BTC,ETH,SOL,HYPE,PURR",3.0,0.017018467860528297,0.0007828585340776022,21.73888016764126,14.824441822886262,1.7018467860528297,0.07828585340776022,21.283892032715052,4.478998050432268,1016.8048939822777,0,0,0,0,9,12
