venue,coin,listed,volume_24h_usd,top_of_book_spread_bps,depth_1pct_usd,max_leverage,taker_fee_bps,fetched_at
aster,XLM,1,949415.65,,0.0,0,3.5,2026-06-19T12:59:30Z
aster,XRP,1,17199222.48,,0.0,0,3.5,2026-06-19T12:59:30Z
aster,ZRO,1,34529.68,12.662,28324.79,0,3.5,2026-06-19T12:59:30Z
dydx,AAVE,1,88.62,,0.0,10,5.0,2026-06-19T12:59:30Z
dydx,ADA,1,11777.48,,0.0,10,5.0,2026-06-19T12:59:30Z
dydx,APT,1,15333.72,,0.0,10,5.0,2026-06-19T12:59:30Z
dydx,ARB,1,4818.01,,0.0,10,5.0,2026-06-19T12:59:30Z
dydx,ATOM,1,5579.94,,0.0,10,5.0,2026-06-19T12:59:30Z
dydx,AVAX,1,9058.74,,0.0,10,5.0,2026-06-19T12:59:30Z
dydx,BCH,1,5636.43,,0.0,10,5.0,2026-06-19T12:59:30Z
dydx,BNB,1,53586.83,,0.0,10,5.0,2026-06-19T12:59:30Z
dydx,BTC,1,64827430.02,1.434,29592683.74,50,5.0,2026-06-19T12:59:31Z
dydx,CRV,1,800.19,60.369,55225.5,10,5.0,2026-06-19T12:59:31Z
dydx,DOGE,1,98306.51,,0.0,10,5.0,2026-06-19T12:59:31Z
dydx,DOT,1,20976.03,,0.0,10,5.0,2026-06-19T12:59:31Z
dydx,EIGEN,1,61.91,187.57,1000.07,5,5.0,2026-06-19T12:59:32Z
dydx,ENA,1,499.68,,0.0,5,5.0,2026-06-19T12:59:32Z
dydx,ETH,1,38693170.59,1.181,23243742.6,50,5.0,2026-06-19T12:59:32Z
dydx,INJ,1,4600.05,51.32,38295.81,5,5.0,2026-06-19T12:59:32Z
dydx,JTO,1,2912.55,125.7,20929.34,5,5.0,2026-06-19T12:59:33Z
dydx,JUP,1,1501.64,102.555,17503.46,5,5.0,2026-06-19T12:59:33Z
dydx,LINK,1,6673.17,,0.0,10,5.0,2026-06-19T12:59:33Z
dydx,LTC,1,12974.06,,0.0,10,5.0,2026-06-19T12:59:33Z
dydx,NEAR,1,7937.18,,0.0,10,5.0,2026-06-19T12:59:33Z
dydx,PENDLE,1,2.79,103.307,23399.92,5,5.0,2026-06-19T12:59:34Z
dydx,PYTH,1,263.31,84.81,17399.99,5,5.0,2026-06-19T12:59:35Z
dydx,SOL,1,650313.66,1.459,3379104.91,20,5.0,2026-06-19T12:59:35Z
dydx,SUI,1,5303.81,,0.0,10,5.0,2026-06-19T12:59:35Z
dydx,TAO,1,4155.88,22.849,379341.94,5,5.0,2026-06-19T12:59:36Z
dydx,TRX,1,20668.29,,0.0,10,5.0,2026-06-19T12:59:36Z
dydx,UNI,1,5858.9,,0.0,10,5.0,2026-06-19T12:59:36Z
dydx,WLD,1,40498.03,102.183,50311.79,10,5.0,2026-06-19T12:59:36Z
dydx,XLM,1,19204.13,,0.0,10,5.0,2026-06-19T12:59:36Z
dydx,XRP,1,179697.49,,0.0,10,5.0,2026-06-19T12:59:36Z
dydx,ZRO,1,899.66,63.204,29000.69,5,5.0,2026-06-19T12:59:36Z
lighter,AAVE,1,689887.24,,0.0,10,0.0,2026-06-19T13:01:38Z
lighter,ADA,1,532341.36,,0.0,10,0.0,2026-06-19T13:01:38Z
lighter,APT,1,393587.08,,0.0,10,0.0,2026-06-19T13:01:39Z
lighter,ARB,1,75158.4,,0.0,15,0.0,2026-06-19T13:01:39Z
lighter,ATOM,0,0.0,,0.0,0,0.0,2026-06-19T13:01:39Z
lighter,AVAX,1,499334.28,,0.0,10,0.0,2026-06-19T13:01:39Z
lighter,BCH,1,415728.68,,0.0,10,0.0,2026-06-19T13:01:40Z
lighter,BNB,1,1054268.54,,0.0,20,0.0,2026-06-19T13:01:40Z
lighter,BTC,1,849252710.32,0.207,20432542.02,50,0.0,2026-06-19T13:01:41Z
lighter,CRV,1,105744.37,16.737,785543.07,10,0.0,2026-06-19T13:01:42Z
lighter,DOGE,1,216207.48,,0.0,10,0.0,2026-06-19T13:01:42Z
lighter,DOT,1,81615.49,,0.0,10,0.0,2026-06-19T13:01:42Z
lighter,EIGEN,1,115612.26,15.413,175209.9,5,0.0,2026-06-19T13:01:43Z
lighter,ENA,1,1855281.69,,0.0,10,0.0,2026-06-19T13:01:44Z
lighter,ETH,1,428827086.9,1.181,20113966.51,50,0.0,2026-06-19T13:01:44Z
lighter,INJ,0,0.0,,0.0,0,0.0,2026-06-19T13:01:44Z
lighter,JTO,1,125674.31,22.106,167107.33,3,0.0,2026-06-19T13:01:45Z
lighter,JUP,1,390888.33,6.465,240123.56,10,0.0,2026-06-19T13:01:46Z
lighter,LINK,1,331392.4,,0.0,10,0.0,2026-06-19T13:01:47Z
lighter,LTC,1,118082.05,,0.0,10,0.0,2026-06-19T13:01:47Z
lighter,NEAR,1,1412179.07,,0.0,10,0.0,2026-06-19T13:01:48Z
lighter,PENDLE,1,155239.25,23.601,118107.76,5,0.0,2026-06-19T13:01:49Z
lighter,PYTH,1,96026.6,11.299,120223.24,5,0.0,2026-06-19T13:01:49Z
lighter,SOL,1,34483935.76,0.876,15170550.35,25,0.0,2026-06-19T13:01:50Z
lighter,SUI,1,1266739.29,,0.0,10,0.0,2026-06-19T13:01:51Z
lighter,TAO,1,437358.31,3.641,257910.66,5,0.0,2026-06-19T13:01:52Z
lighter,TRX,1,244771.97,,0.0,10,0.0,2026-06-19T13:01:52Z
lighter,UNI,1,569525.52,,0.0,10,0.0,2026-06-19T13:01:53Z
lighter,WLD,1,1735019.68,5.98,710116.43,10,0.0,2026-06-19T13:01:54Z
lighter,XLM,1,1746870.45,,0.0,5,0.0,2026-06-19T13:01:54Z
lighter,XRP,1,2661451.51,,0.0,20,0.0,2026-06-19T13:01:55Z
lighter,ZRO,1,269477.9,14.398,123962.2,5,0.0,2026-06-19T13:01:56Z
paradex,AAVE,1,1881.41,,0.0,0,3.0,2026-06-19T13:00:24Z
paradex,ADA,1,23034.23,,0.0,0,3.0,2026-06-19T13:00:24Z
paradex,APT,1,205.15,,0.0,0,3.0,2026-06-19T13:00:24Z
paradex,ARB,1,0.0,,0.0,0,3.0,2026-06-19T13:00:24Z
paradex,ATOM,0,0.0,,0.0,0,3.0,2026-06-19T13:00:24Z
paradex,AVAX,1,1660.12,,0.0,0,3.0,2026-06-19T13:00:24Z
paradex,BCH,1,209.58,,0.0,0,3.0,2026-06-19T13:00:24Z
paradex,BNB,1,416489.57,,0.0,0,3.0,2026-06-19T13:00:24Z
paradex,BTC,1,7431433.18,5.869,1231538.64,0,3.0,2026-06-19T13:00:25Z
paradex,CRV,0,0.0,,0.0,0,3.0,2026-06-19T13:00:25Z
paradex,DOGE,1,4374.08,,0.0,0,3.0,2026-06-19T13:00:25Z
paradex,DOT,1,1057.61,,0.0,0,3.0,2026-06-19T13:00:25Z
paradex,EIGEN,0,0.0,,0.0,0,3.0,2026-06-19T13:00:25Z
paradex,ENA,1,584.01,,0.0,0,3.0,2026-06-19T13:00:25Z
paradex,ETH,1,11470011.74,5.786,1093771.6,0,3.0,2026-06-19T13:00:26Z
